Gating Method,Selection,Mean Drop (%),Std Drop (%),Min Drop (%),Max Drop (%),N
Static Gating,Gate Selection,-1.05421718032732,4.253938980275683,-10.869565217391312,9.004739336492898,50
Adaptive Gating,Gate Selection,0.6023510003097757,5.396989463195268,-11.594202898550709,13.612565445026172,50
Static Gating,Aggregation Selection,2.000628842931193,5.657812875631207,-8.252427184466002,17.6470588235294,50
Early Halting,Edge Selection,2.2455436773750996,6.125013665802319,-10.71428571428572,16.5137614678899,50
Static Gating,Edge Selection,2.5868108147097155,5.9192488977406414,-8.252427184466002,15.38461538461538,50
Early Halting,Gate Selection,2.831919636855635,5.67945297568131,-9.574468085106394,15.596330275229352,50
Adaptive Gating,Aggregation Selection,3.1268469902652005,4.5635899178580654,-8.69565217391304,10.26785714285712,50
Adaptive Gating,Edge Selection,3.4250900427770885,4.849703098343752,-8.212560386473413,13.861386138613891,50
Early Halting,Aggregation Selection,3.4822959836929686,4.789339783156963,-6.796116504854386,14.28571428571429,50
Baseline EEG-ARNN,Edge Selection,3.911818335034783,5.008709327812848,-2.5773195876288715,20.17937219730941,50
Baseline EEG-ARNN,Aggregation Selection,4.025264138505993,5.544212183228529,-4.854368932038817,19.730941704035867,50
