subject,method,k,num_channels_selected,accuracy,std,full_channels_acc,accuracy_drop,accuracy_drop_pct
S001,ES,10,10,0.7420634920634921,0.039283710065919325,0.876984126984127,0.13492063492063489,15.38461538461538
S001,ES,15,15,0.7936507936507936,0.039283710065919304,0.876984126984127,0.08333333333333337,9.502262443438918
S001,ES,20,20,0.746031746031746,0.05859056769933887,0.876984126984127,0.13095238095238093,14.932126696832576
S001,ES,25,25,0.8293650793650794,0.031246062992110354,0.876984126984127,0.04761904761904756,5.429864253393658
S001,ES,30,30,0.7658730158730158,0.022447834323382487,0.876984126984127,0.11111111111111116,12.669683257918557
S001,AS,10,10,0.7777777777777778,0.020234204419019002,0.876984126984127,0.09920634920634919,11.312217194570133
S001,AS,15,15,0.7857142857142857,0.00972019739199675,0.876984126984127,0.09126984126984128,10.407239819004525
S001,AS,20,20,0.7222222222222223,0.011223917161691244,0.876984126984127,0.15476190476190466,17.6470588235294
S001,AS,25,25,0.7619047619047619,0.025717224993681995,0.876984126984127,0.11507936507936511,13.12217194570136
S001,AS,30,30,0.8293650793650794,0.022447834323382432,0.876984126984127,0.04761904761904756,5.429864253393658
S001,GS,10,10,0.9007936507936508,0.05611958580845616,0.876984126984127,-0.023809523809523836,-2.714932126696836
S001,GS,15,15,0.8888888888888888,0.005611958580845648,0.876984126984127,-0.011904761904761862,-1.3574660633484115
S001,GS,20,20,0.8968253968253967,0.014847846772912452,0.876984126984127,-0.01984126984126977,-2.262443438914019
S001,GS,25,25,0.9007936507936508,0.005611958580845595,0.876984126984127,-0.023809523809523836,-2.714932126696836
S001,GS,30,30,0.8888888888888888,0.022447834323382487,0.876984126984127,-0.011904761904761862,-1.3574660633484115
S002,ES,10,10,0.6349206349206349,0.024461960329241975,0.746031746031746,0.11111111111111116,14.893617021276603
S002,ES,15,15,0.6785714285714285,0.00972019739199675,0.746031746031746,0.06746031746031755,9.042553191489374
S002,ES,20,20,0.6825396825396824,0.005611958580845595,0.746031746031746,0.0634920634920636,8.510638297872354
S002,ES,25,25,0.6746031746031745,0.058590567699338916,0.746031746031746,0.07142857142857151,9.574468085106394
S002,ES,30,30,0.7023809523809522,0.038880789567986955,0.746031746031746,0.04365079365079383,5.8510638297872575
S002,AS,10,10,0.6865079365079364,0.024461960329241975,0.746031746031746,0.059523809523809645,7.9787234042553346
S002,AS,15,15,0.7261904761904763,0.03504667010447556,0.746031746031746,0.01984126984126977,2.659574468085097
S002,AS,20,20,0.6746031746031745,0.014847846772912463,0.746031746031746,0.07142857142857151,9.574468085106394
S002,AS,25,25,0.7420634920634921,0.02805979290422808,0.746031746031746,0.003968253968253954,0.5319148936170194
S002,AS,30,30,0.7301587301587302,0.04593586072535807,0.746031746031746,0.015873015873015817,2.1276595744680775
S002,GS,10,10,0.7063492063492064,0.04046840883803797,0.746031746031746,0.03968253968253965,5.319148936170208
S002,GS,15,15,0.7182539682539684,0.024461960329241975,0.746031746031746,0.02777777777777768,3.7234042553191355
S002,GS,20,20,0.7777777777777777,0.020234204419019002,0.746031746031746,-0.03174603174603163,-4.255319148936155
S002,GS,25,25,0.7380952380952381,0.033671751485073675,0.746031746031746,0.007936507936507908,1.0638297872340388
S002,GS,30,30,0.7817460317460317,0.04489566864676491,0.746031746031746,-0.0357142857142857,-4.787234042553189
S005,ES,10,10,0.8849206349206349,0.005611958580845648,0.8174603174603176,-0.06746031746031733,-8.252427184466002
S005,ES,15,15,0.8531746031746033,0.011223917161691244,0.8174603174603176,-0.0357142857142857,-4.368932038834949
S005,ES,20,20,0.8412698412698413,0.014847846772912463,0.8174603174603176,-0.023809523809523725,-2.9126213592232904
S005,ES,25,25,0.8095238095238096,0.0423693581429814,0.8174603174603176,0.007936507936507908,0.9708737864077635
S005,ES,30,30,0.8412698412698413,0.045935860725358026,0.8174603174603176,-0.023809523809523725,-2.9126213592232904
S005,AS,10,10,0.8849206349206349,0.014847846772912463,0.8174603174603176,-0.06746031746031733,-8.252427184466002
S005,AS,15,15,0.8333333333333334,0.016835875742536838,0.8174603174603176,-0.015873015873015817,-1.941747572815527
S005,AS,20,20,0.8650793650793651,0.04046840883803797,0.8174603174603176,-0.04761904761904756,-5.825242718446595
S005,AS,25,25,0.8690476190476191,0.0350466701044756,0.8174603174603176,-0.051587301587301515,-6.3106796116504755
S005,AS,30,30,0.8253968253968255,0.022447834323382435,0.8174603174603176,-0.007936507936507908,-0.9708737864077635
S005,GS,10,10,0.8650793650793651,0.04794859513331178,0.8174603174603176,-0.04761904761904756,-5.825242718446595
S005,GS,15,15,0.8333333333333334,0.038880789567986955,0.8174603174603176,-0.015873015873015817,-1.941747572815527
S005,GS,20,20,0.8809523809523809,0.0423693581429814,0.8174603174603176,-0.06349206349206338,-7.766990291262122
S005,GS,25,25,0.8253968253968255,0.06472026361230192,0.8174603174603176,-0.007936507936507908,-0.9708737864077635
S005,GS,30,30,0.8571428571428572,0.060702613257056934,0.8174603174603176,-0.03968253968253965,-4.854368932038831
S006,ES,10,10,0.7817460317460317,0.034136211377153246,0.7301587301587302,-0.051587301587301515,-7.065217391304338
S006,ES,15,15,0.7857142857142857,0.025717224993681977,0.7301587301587302,-0.05555555555555547,-7.608695652173901
S006,ES,20,20,0.75,0.05411976863883274,0.7301587301587302,-0.01984126984126977,-2.7173913043478164
S006,ES,25,25,0.7817460317460316,0.014847846772912503,0.7301587301587302,-0.051587301587301404,-7.065217391304322
S006,ES,30,30,0.7658730158730158,0.014847846772912463,0.7301587301587302,-0.03571428571428559,-4.891304347826069
S006,AS,10,10,0.7619047619047619,0.033671751485073675,0.7301587301587302,-0.03174603174603163,-4.3478260869565055
S006,AS,15,15,0.7698412698412698,0.022447834323382435,0.7301587301587302,-0.03968253968253954,-5.434782608695633
S006,AS,20,20,0.75,0.06373959684209925,0.7301587301587302,-0.01984126984126977,-2.7173913043478164
S006,AS,25,25,0.7698412698412698,0.005611958580845648,0.7301587301587302,-0.03968253968253954,-5.434782608695633
S006,AS,30,30,0.7301587301587302,0.04383079768725101,0.7301587301587302,0.0,0.0
S006,GS,10,10,0.8095238095238096,0.016835875742536838,0.7301587301587302,-0.07936507936507942,-10.869565217391312
S006,GS,15,15,0.7857142857142857,0.00972019739199675,0.7301587301587302,-0.05555555555555547,-7.608695652173901
S006,GS,20,20,0.7976190476190476,0.025717224993681995,0.7301587301587302,-0.06746031746031733,-9.23913043478259
S006,GS,25,25,0.7896825396825397,0.039283710065919325,0.7301587301587302,-0.05952380952380942,-8.152173913043463
S006,GS,30,30,0.7857142857142856,0.025717224993681977,0.7301587301587302,-0.05555555555555536,-7.6086956521738855
S007,ES,10,10,0.9126984126984127,0.020234204419018968,0.9404761904761904,0.02777777777777768,2.9535864978902855
S007,ES,15,15,0.9365079365079364,0.01122391716169119,0.9404761904761904,0.003968253968253954,0.42194092827004076
S007,ES,20,20,0.9285714285714285,0.038880789567986955,0.9404761904761904,0.011904761904761862,1.2658227848101222
S007,ES,25,25,0.9285714285714285,0.016835875742536838,0.9404761904761904,0.011904761904761862,1.2658227848101222
S007,ES,30,30,0.9126984126984127,0.03413621137715325,0.9404761904761904,0.02777777777777768,2.9535864978902855
S007,AS,10,10,0.9087301587301587,0.020234204419019002,0.9404761904761904,0.03174603174603163,3.375527426160326
S007,AS,15,15,0.9047619047619048,0.038880789567986955,0.9404761904761904,0.03571428571428559,3.7974683544303667
S007,AS,20,20,0.9444444444444443,0.014847846772912463,0.9404761904761904,-0.003968253968253954,-0.42194092827004076
S007,AS,25,25,0.9246031746031745,0.005611958580845648,0.9404761904761904,0.015873015873015817,1.687763713080163
S007,AS,30,30,0.888888888888889,0.04892392065848391,0.9404761904761904,0.051587301587301404,5.4852320675105295
S007,GS,10,10,0.9246031746031745,0.031246062992110354,0.9404761904761904,0.015873015873015817,1.687763713080163
