subject,model,model_method,method,k,accuracy,accuracy_drop,full_channels_acc,retention_rate
S001,Baseline_ARNN,Baseline_ARNN-ES,ES,10,0.8968253968253967,-0.0714285714285712,0.8253968253968255,108.65384615384615
S001,Baseline_ARNN,Baseline_ARNN-ES,ES,15,0.8095238095238096,0.0158730158730158,0.8253968253968255,98.07692307692308
S001,Baseline_ARNN,Baseline_ARNN-ES,ES,20,0.8095238095238096,0.0158730158730158,0.8253968253968255,98.07692307692308
S001,Baseline_ARNN,Baseline_ARNN-ES,ES,25,0.8015873015873015,0.0238095238095239,0.8253968253968255,97.1153846153846
S001,Baseline_ARNN,Baseline_ARNN-ES,ES,30,0.8095238095238094,0.015873015873016,0.8253968253968255,98.07692307692307
S001,Baseline_ARNN,Baseline_ARNN-AS,AS,10,0.8531746031746033,-0.0277777777777777,0.8253968253968255,103.36538461538463
S001,Baseline_ARNN,Baseline_ARNN-AS,AS,15,0.8253968253968255,0.0,0.8253968253968255,100.0
S001,Baseline_ARNN,Baseline_ARNN-AS,AS,20,0.8095238095238094,0.015873015873016,0.8253968253968255,98.07692307692307
S001,Baseline_ARNN,Baseline_ARNN-AS,AS,25,0.7817460317460317,0.0436507936507937,0.8253968253968255,94.71153846153845
S001,Baseline_ARNN,Baseline_ARNN-AS,AS,30,0.8015873015873017,0.0238095238095237,0.8253968253968255,97.11538461538463
S002,Baseline_ARNN,Baseline_ARNN-ES,ES,10,0.7182539682539684,0.0952380952380952,0.8134920634920636,88.29268292682927
S002,Baseline_ARNN,Baseline_ARNN-ES,ES,15,0.75,0.0634920634920636,0.8134920634920636,92.1951219512195
S002,Baseline_ARNN,Baseline_ARNN-ES,ES,20,0.746031746031746,0.0674603174603175,0.8134920634920636,91.70731707317073
S002,Baseline_ARNN,Baseline_ARNN-ES,ES,25,0.7698412698412699,0.0436507936507937,0.8134920634920636,94.6341463414634
S002,Baseline_ARNN,Baseline_ARNN-ES,ES,30,0.7619047619047619,0.0515873015873017,0.8134920634920636,93.65853658536584
S002,Baseline_ARNN,Baseline_ARNN-AS,AS,10,0.7420634920634921,0.0714285714285715,0.8134920634920636,91.21951219512195
S002,Baseline_ARNN,Baseline_ARNN-AS,AS,15,0.7222222222222222,0.0912698412698413,0.8134920634920636,88.78048780487804
S002,Baseline_ARNN,Baseline_ARNN-AS,AS,20,0.7777777777777777,0.0357142857142859,0.8134920634920636,95.60975609756095
S002,Baseline_ARNN,Baseline_ARNN-AS,AS,25,0.7777777777777778,0.0357142857142858,0.8134920634920636,95.60975609756096
S002,Baseline_ARNN,Baseline_ARNN-AS,AS,30,0.7261904761904763,0.0873015873015873,0.8134920634920636,89.26829268292683
S005,Baseline_ARNN,Baseline_ARNN-ES,ES,10,0.8293650793650794,0.0079365079365079,0.8373015873015873,99.0521327014218
S005,Baseline_ARNN,Baseline_ARNN-ES,ES,15,0.8492063492063493,-0.0119047619047619,0.8373015873015873,101.4218009478673
S005,Baseline_ARNN,Baseline_ARNN-ES,ES,20,0.8373015873015873,0.0,0.8373015873015873,100.0
S005,Baseline_ARNN,Baseline_ARNN-ES,ES,25,0.873015873015873,-0.0357142857142857,0.8373015873015873,104.26540284360189
S005,Baseline_ARNN,Baseline_ARNN-ES,ES,30,0.8412698412698413,-0.0039682539682539,0.8373015873015873,100.4739336492891
S005,Baseline_ARNN,Baseline_ARNN-AS,AS,10,0.8452380952380952,-0.0079365079365079,0.8373015873015873,100.94786729857819
S005,Baseline_ARNN,Baseline_ARNN-AS,AS,15,0.8452380952380953,-0.007936507936508,0.8373015873015873,100.9478672985782
S005,Baseline_ARNN,Baseline_ARNN-AS,AS,20,0.873015873015873,-0.0357142857142857,0.8373015873015873,104.26540284360189
S005,Baseline_ARNN,Baseline_ARNN-AS,AS,25,0.8492063492063492,-0.0119047619047618,0.8373015873015873,101.4218009478673
S005,Baseline_ARNN,Baseline_ARNN-AS,AS,30,0.8531746031746033,-0.0158730158730159,0.8373015873015873,101.89573459715639
S006,Baseline_ARNN,Baseline_ARNN-ES,ES,10,0.7579365079365079,0.0079365079365079,0.7658730158730158,98.9637305699482
S006,Baseline_ARNN,Baseline_ARNN-ES,ES,15,0.7658730158730158,0.0,0.7658730158730158,100.0
S006,Baseline_ARNN,Baseline_ARNN-ES,ES,20,0.8650793650793651,-0.0992063492063493,0.7658730158730158,112.95336787564769
S006,Baseline_ARNN,Baseline_ARNN-ES,ES,25,0.8650793650793651,-0.0992063492063493,0.7658730158730158,112.95336787564769
S006,Baseline_ARNN,Baseline_ARNN-ES,ES,30,0.8373015873015873,-0.0714285714285715,0.7658730158730158,109.32642487046633
S006,Baseline_ARNN,Baseline_ARNN-AS,AS,10,0.8134920634920636,-0.0476190476190477,0.7658730158730158,106.2176165803109
S006,Baseline_ARNN,Baseline_ARNN-AS,AS,15,0.761904761904762,0.0039682539682538,0.7658730158730158,99.48186528497412
S006,Baseline_ARNN,Baseline_ARNN-AS,AS,20,0.7857142857142857,-0.0198412698412698,0.7658730158730158,102.59067357512954
S006,Baseline_ARNN,Baseline_ARNN-AS,AS,25,0.7976190476190476,-0.0317460317460317,0.7658730158730158,104.14507772020724
S006,Baseline_ARNN,Baseline_ARNN-AS,AS,30,0.8412698412698413,-0.0753968253968254,0.7658730158730158,109.84455958549223
S007,Baseline_ARNN,Baseline_ARNN-ES,ES,10,0.8928571428571429,0.0079365079365077,0.9007936507936508,99.11894273127754
S007,Baseline_ARNN,Baseline_ARNN-ES,ES,15,0.9047619047619048,-0.003968253968254,0.9007936507936508,100.44052863436124
S007,Baseline_ARNN,Baseline_ARNN-ES,ES,20,0.9206349206349206,-0.0198412698412698,0.9007936507936508,102.20264317180616
S007,Baseline_ARNN,Baseline_ARNN-ES,ES,25,0.9563492063492064,-0.0555555555555556,0.9007936507936508,106.16740088105728
S007,Baseline_ARNN,Baseline_ARNN-ES,ES,30,0.9126984126984128,-0.0119047619047619,0.9007936507936508,101.32158590308372
S007,Baseline_ARNN,Baseline_ARNN-AS,AS,10,0.9206349206349206,-0.0198412698412698,0.9007936507936508,102.20264317180616
S007,Baseline_ARNN,Baseline_ARNN-AS,AS,15,0.9246031746031744,-0.0238095238095238,0.9007936507936508,102.64317180616737
S007,Baseline_ARNN,Baseline_ARNN-AS,AS,20,0.9444444444444444,-0.0436507936507938,0.9007936507936508,104.84581497797356
S007,Baseline_ARNN,Baseline_ARNN-AS,AS,25,0.9285714285714284,-0.0277777777777777,0.9007936507936508,103.08370044052862
S007,Baseline_ARNN,Baseline_ARNN-AS,AS,30,0.9325396825396824,-0.0317460317460317,0.9007936507936508,103.52422907488985
S008,Baseline_ARNN,Baseline_ARNN-ES,ES,10,0.9007936507936508,0.0238095238095237,0.9246031746031744,97.42489270386268
S008,Baseline_ARNN,Baseline_ARNN-ES,ES,15,0.9007936507936508,0.0238095238095237,0.9246031746031744,97.42489270386268
S008,Baseline_ARNN,Baseline_ARNN-ES,ES,20,0.9206349206349206,0.0039682539682539,0.9246031746031744,99.57081545064379
S008,Baseline_ARNN,Baseline_ARNN-ES,ES,25,0.9166666666666666,0.0079365079365079,0.9246031746031744,99.14163090128757
S008,Baseline_ARNN,Baseline_ARNN-ES,ES,30,0.9087301587301588,0.0158730158730158,0.9246031746031744,98.28326180257514
S008,Baseline_ARNN,Baseline_ARNN-AS,AS,10,0.8968253968253969,0.0277777777777776,0.9246031746031744,96.99570815450646
S008,Baseline_ARNN,Baseline_ARNN-AS,AS,15,0.9007936507936508,0.0238095238095237,0.9246031746031744,97.42489270386268
S008,Baseline_ARNN,Baseline_ARNN-AS,AS,20,0.8928571428571428,0.0317460317460317,0.9246031746031744,96.56652360515022
S008,Baseline_ARNN,Baseline_ARNN-AS,AS,25,0.9047619047619048,0.0198412698412697,0.9246031746031744,97.8540772532189
S008,Baseline_ARNN,Baseline_ARNN-AS,AS,30,0.8769841269841271,0.0476190476190474,0.9246031746031744,94.84978540772535
S011,Baseline_ARNN,Baseline_ARNN-ES,ES,10,0.7777777777777777,0.0198412698412698,0.7976190476190476,97.51243781094527
S011,Baseline_ARNN,Baseline_ARNN-ES,ES,15,0.7857142857142857,0.0119047619047618,0.7976190476190476,98.50746268656717
S011,Baseline_ARNN,Baseline_ARNN-ES,ES,20,0.7896825396825397,0.0079365079365079,0.7976190476190476,99.00497512437812
S011,Baseline_ARNN,Baseline_ARNN-ES,ES,25,0.8174603174603176,-0.0198412698412699,0.7976190476190476,102.48756218905474
S011,Baseline_ARNN,Baseline_ARNN-ES,ES,30,0.8134920634920636,-0.015873015873016,0.7976190476190476,101.99004975124379
S011,Baseline_ARNN,Baseline_ARNN-AS,AS,10,0.7698412698412698,0.0277777777777777,0.7976190476190476,96.51741293532338
S011,Baseline_ARNN,Baseline_ARNN-AS,AS,15,0.7857142857142857,0.0119047619047618,0.7976190476190476,98.50746268656717
S011,Baseline_ARNN,Baseline_ARNN-AS,AS,20,0.8095238095238094,-0.0119047619047618,0.7976190476190476,101.49253731343283
S011,Baseline_ARNN,Baseline_ARNN-AS,AS,25,0.8214285714285715,-0.0238095238095239,0.7976190476190476,102.98507462686568
S011,Baseline_ARNN,Baseline_ARNN-AS,AS,30,0.8134920634920634,-0.0158730158730158,0.7976190476190476,101.99004975124377
S014,Baseline_ARNN,Baseline_ARNN-ES,ES,10,0.8253968253968255,0.0555555555555554,0.8809523809523809,93.6936936936937
S014,Baseline_ARNN,Baseline_ARNN-ES,ES,15,0.8492063492063492,0.0317460317460317,0.8809523809523809,96.3963963963964
S014,Baseline_ARNN,Baseline_ARNN-ES,ES,20,0.8650793650793651,0.0158730158730158,0.8809523809523809,98.1981981981982
S014,Baseline_ARNN,Baseline_ARNN-ES,ES,25,0.8412698412698413,0.0396825396825396,0.8809523809523809,95.4954954954955
S014,Baseline_ARNN,Baseline_ARNN-ES,ES,30,0.884920634920635,-0.003968253968254,0.8809523809523809,100.45045045045046
S014,Baseline_ARNN,Baseline_ARNN-AS,AS,10,0.8015873015873015,0.0793650793650794,0.8809523809523809,90.99099099099098
S014,Baseline_ARNN,Baseline_ARNN-AS,AS,15,0.8293650793650794,0.0515873015873015,0.8809523809523809,94.14414414414415
S014,Baseline_ARNN,Baseline_ARNN-AS,AS,20,0.876984126984127,0.0039682539682539,0.8809523809523809,99.54954954954955
S014,Baseline_ARNN,Baseline_ARNN-AS,AS,25,0.873015873015873,0.0079365079365079,0.8809523809523809,99.09909909909909
S014,Baseline_ARNN,Baseline_ARNN-AS,AS,30,0.8571428571428571,0.0238095238095238,0.8809523809523809,97.29729729729729
