model,method,retention_rate_mean,retention_rate_std,accuracy_mean,accuracy_drop_mean,k_count
G_CARM,ES,104.2047,6.4827,0.7525,0.0273,50
ACS_SE_CNN,default,100.5302,3.1256,0.8114,0.0029,50
Adaptive_ARNN,GS,99.9236,5.3808,0.8516,0.0008,50
EEGNET,default,99.5464,3.0327,0.9082,-0.0058,50
Baseline_ARNN,ES,99.1214,4.8075,0.842,0.008,50
G_CARM,AS,99.099,4.8536,0.7898,-0.0101,50
Baseline_ARNN,AS,98.8862,4.2999,0.8402,0.0098,50
CNN_SAE,default,98.3044,2.5336,0.8579,-0.0155,50
Adaptive_ARNN,AS,96.9115,5.2432,0.8255,0.0269,50
Adaptive_ARNN,ES,96.7519,5.2596,0.8245,0.0279,50
FBCSP,default,94.7576,5.0658,0.6719,-0.0402,50
