subject,num_trials,num_channels,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity
S001,252,64,0.9285714285714285,0.00972019739199675,0.9243827160493826,0.028371568380941754,0.8571428571428572,0.029160592175990246,0.8888111888111888,0.015138958397323554,0.9589710884353743,0.015899882611662565,0.9642857142857143,0.0145802960879951
S002,252,64,0.7817460317460317,0.005611958580845595,0.7356425251162092,0.03490332478874226,0.5476190476190476,0.0673435029701474,0.6237023332305478,0.03083701644948608,0.7336309523809524,0.0286792890374831,0.8988095238095238,0.030351306628528512
S005,252,64,0.8134920634920636,0.011223917161691192,0.8047044589160528,0.0829948698815415,0.6071428571428571,0.07715167498104597,0.683090705487122,0.014411777763414423,0.8452380952380952,0.02059552949793007,0.9166666666666666,0.05520011009223632
S006,252,64,0.7817460317460317,0.011223917161691244,0.7444890999878213,0.056405261994754444,0.5357142857142857,0.0291605921759902,0.6206393668578543,0.006307947847384025,0.7667942176870749,0.010287885741975178,0.9047619047619048,0.03035130662852846
S007,252,64,0.8968253968253969,0.04046840883803797,0.9013209013209013,0.05262710638750608,0.7738095238095238,0.08417937871268424,0.831718898385565,0.06778844256963612,0.9368622448979592,0.033662355154073106,0.9583333333333334,0.022271770159368667
S008,252,64,0.9206349206349206,0.039283710065919304,0.9086799620132954,0.051221264666532526,0.8452380952380952,0.07338588098772592,0.8755987548440379,0.06316566559860336,0.9483418367346937,0.018709898576265448,0.9583333333333334,0.022271770159368667
S011,252,64,0.873015873015873,0.036800073394824245,0.8078648233486941,0.03967099315025838,0.8095238095238094,0.09373818897633107,0.8071938721123243,0.06391246497553263,0.9085884353741496,0.03960362760409644,0.9047619047619048,0.016835875742536838
S014,252,64,0.8650793650793651,0.024461960329241975,0.8259527643585615,0.06702653400397955,0.7619047619047619,0.016835875742536838,0.7911764705882351,0.030659795629631097,0.8667091836734694,0.053664985523599,0.9166666666666666,0.036692940493862965
S015,252,64,0.8571428571428571,0.0350466701044756,0.8772969974342972,0.07126791424520151,0.6666666666666666,0.060702613257056975,0.7564288694201085,0.05952509087511897,0.8905187074829932,0.026317649431860535,0.9523809523809524,0.030351306628528474
S016,252,64,0.75,0.025717224993681977,0.8141025641025642,0.13354273497435679,0.380952380952381,0.19416079083690585,0.4732323232323233,0.14936009478605225,0.7123724489795918,0.05755599935644105,0.9345238095238096,0.058925565098878974
