subject,num_trials,num_channels,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity
S001,252,64,0.6150793650793651,0.014847846772912463,0.39033189033189036,0.04108121456128935,0.28571428571428575,0.050507627227610555,0.3294055013309672,0.048554953620036825,0.0,0.0,0.7797619047619048,0.008417937871268393
S002,252,64,0.6785714285714285,0.00972019739199675,0.5319444444444444,0.025534411542847548,0.3571428571428572,0.07715167498104597,0.42088847127606827,0.04543013356339362,0.0,0.0,0.8392857142857143,0.05050762722761051
S005,252,64,0.6190476190476191,0.00972019739199675,0.38576998050682265,0.013079326469564348,0.2380952380952381,0.01683587574253685,0.29376331131811634,0.010720949969426548,0.0,0.0,0.8095238095238096,0.02227177015936871
S006,252,64,0.5158730158730158,0.0341362113771533,0.19578134284016635,0.09756362073087806,0.16666666666666666,0.11040022018447268,0.17872053872053872,0.10580734017189201,0.0,0.0,0.6904761904761904,0.03035130662852846
S007,252,64,0.7261904761904762,0.0291605921759902,0.6382451970687265,0.07243370714431155,0.42857142857142855,0.029160592175990225,0.5113687600644122,0.038249264927409043,0.0,0.0,0.875,0.03857583749052299
S008,252,64,0.6071428571428572,0.04236935814298138,0.37520128824476656,0.09276396659092946,0.2738095238095238,0.07338588098772592,0.3159278204035237,0.08136872945869424,0.0,0.0,0.7738095238095238,0.03669294049386296
S011,252,64,0.5079365079365079,0.020234204419018985,0.18306878306878308,0.05320552419037687,0.14285714285714288,0.05050762722761054,0.15990579989173684,0.05196477185821157,0.0,0.0,0.6904761904761906,0.033671751485073675
S014,252,64,0.6746031746031745,0.06616401587513121,0.48966817496229265,0.18479757790872153,0.3095238095238095,0.14964053678543493,0.37748419150858176,0.1681928668453595,0.0,0.0,0.8571428571428571,0.025253813613805284
S015,252,64,0.746031746031746,0.04593586072535807,0.6332587382779198,0.050866432035707225,0.5476190476190476,0.17086547731437288,0.5773420479302832,0.11063248615504859,0.0,0.0,0.8452380952380952,0.03367175148507373
S016,252,64,0.626984126984127,0.014847846772912503,0.43288982259570497,0.019255227184303843,0.3928571428571428,0.11664236870396084,0.4034595034595035,0.06880616037384062,0.0,0.0,0.7440476190476191,0.07482026839271744
