subject,num_trials,num_channels,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1_score,std_f1_score,auc_roc,std_auc_roc,specificity,std_specificity
S001,252,64,0.8293650793650794,0.05527138205231793,0.7904858299595142,0.06677605530558006,0.6547619047619048,0.1314923930617531,0.7133014083368693,0.10560389148146013,0.8509778911564626,0.06606043588896368,0.9166666666666666,0.022271770159368667
S002,252,64,0.7817460317460317,0.06827242275430659,0.7715665976535542,0.09449001563999891,0.4761904761904762,0.21494607244366418,0.5628918233960251,0.20510310248972602,0.7830569727891157,0.11176565921399395,0.9345238095238096,0.04208968935634212
S005,252,64,0.8373015873015873,0.020234204419018968,0.7583680687128963,0.02243193599512586,0.75,0.05050762722761051,0.7537826046597976,0.035855497793657994,0.8758503401360546,0.031956063457941504,0.8809523809523809,0.008417937871268445
S006,252,64,0.7579365079365079,0.011223917161691244,0.6688239116309291,0.04828210257882438,0.5595238095238094,0.044543540318737376,0.6059000279795141,0.009282514135352842,0.7308673469387754,0.012111751303778999,0.8571428571428571,0.03857583749052298
S007,252,64,0.9325396825396824,0.020234204419018968,0.8884140550807218,0.07957115291686624,0.9285714285714285,0.05050762722761052,0.9033389450056117,0.021184527388043283,0.9402636054421768,0.011459891132605088,0.9345238095238094,0.05520011009223634
S008,252,64,0.9087301587301587,0.04046840883803797,0.8778607329331966,0.08746178293321577,0.8571428571428571,0.07715167498104597,0.8628853627889307,0.05840646138907707,0.9336734693877551,0.025737718442621998,0.9345238095238094,0.05520011009223634
S011,252,64,0.8134920634920636,0.020234204419019002,0.7573924731182796,0.04230135747810809,0.6666666666666666,0.14384578539993537,0.6955572675911658,0.07401765246591792,0.8160076530612245,0.02006818484747264,0.8869047619047619,0.044543540318737376
S014,252,64,0.8571428571428572,0.016835875742536838,0.8363636363636363,0.05142594772265797,0.7142857142857143,0.0,0.7698113207547171,0.02134661980940515,0.879889455782313,0.050764887716344576,0.9285714285714285,0.025253813613805284
S015,252,64,0.9087301587301587,0.024461960329241975,0.9102564102564102,0.06537204504606135,0.8095238095238096,0.016835875742536838,0.8562091503267973,0.03571035832431156,0.9195365646258504,0.025782892759755278,0.9583333333333334,0.030351306628528474
S016,252,64,0.8968253968253967,0.04892392065848391,0.8608058608058609,0.06719390596279905,0.8214285714285715,0.08748177652797065,0.8403880070546738,0.07710882623879778,0.9025297619047619,0.05059970397028722,0.9345238095238096,0.03035130662852846
