subject,num_trials,num_channels,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1_score,std_f1_score,auc_roc,std_auc_roc,specificity,std_specificity
S001,252,64,0.8253968253968255,0.031246062992110354,0.7633822091886607,0.0667013953110971,0.7023809523809524,0.0673435029701474,0.7281057456561134,0.04732332455731743,0.8566113945578232,0.04641491297252356,0.8869047619047619,0.046869094488165564
S002,252,64,0.8134920634920636,0.03413621137715325,0.7933333333333333,0.08993825042154693,0.6071428571428571,0.029160592175990246,0.6860587002096435,0.04636513743101987,0.836734693877551,0.04556565689830673,0.9166666666666666,0.044543540318737425
S005,252,64,0.8373015873015873,0.03413621137715325,0.7635152696556206,0.06263249876080804,0.7619047619047619,0.17086547731437293,0.7492424242424242,0.0705346020671163,0.8700042517006802,0.049024478012382744,0.875,0.052570005156713374
S006,252,64,0.7658730158730158,0.005611958580845648,0.6599492461561427,0.016260468111329217,0.6190476190476191,0.06070261325705699,0.6365079365079365,0.027584360630131376,0.7680697278911565,0.017582337430912153,0.8392857142857143,0.025253813613805284
S007,252,64,0.9007936507936507,0.014847846772912463,0.8564929693961952,0.020116437563300737,0.8452380952380952,0.06070261325705699,0.8493408662900187,0.027223260424360574,0.9258078231292517,0.02484427004250904,0.9285714285714285,0.0145802960879951
S008,252,64,0.9246031746031745,0.011223917161691244,0.8887330528284245,0.049709993458699725,0.8928571428571429,0.07715167498104597,0.8864517558435804,0.02173749433727448,0.9466411564625851,0.01127803176420159,0.9404761904761904,0.03035130662852846
S011,252,64,0.7976190476190476,0.025717224993681995,0.7613122171945701,0.0082094800366053,0.5714285714285715,0.10514001031342675,0.6478395061728395,0.06846149334276116,0.8245110544217686,0.009694203882202688,0.9107142857142857,0.0145802960879951
S014,252,64,0.8809523809523809,0.0350466701044756,0.8036742424242425,0.05404571683976074,0.8571428571428572,0.08748177652797065,0.8264460253634396,0.05206015678888637,0.8920068027210885,0.052187136251355536,0.8928571428571429,0.03857583749052298
S015,252,64,0.9007936507936507,0.06324356131154456,0.8532258064516128,0.10173183383454246,0.8571428571428571,0.10101525445522108,0.8524779331325211,0.08982579016319883,0.90359268707483,0.05635167736435688,0.9226190476190476,0.05892556509887896
S016,252,64,0.8531746031746033,0.036800073394824225,0.8119658119658119,0.03593147489514566,0.7261904761904762,0.10240863413145983,0.763920382968002,0.06863848243345762,0.8556547619047619,0.03791053414852087,0.9166666666666666,0.016835875742536838
