subject,num_trials,num_channels,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1_score,std_f1_score,auc_roc,std_auc_roc,specificity,std_specificity
S001,252,64,0.7301176470588235,0.020425914742786523,0.7530555555555555,0.15264741913278862,0.3779411764705882,0.17472172635622524,0.45516705516705525,0.14177434763648608,0.6388991559190521,0.062459003036201596,0.9046345811051694,0.0828867421791146
S002,252,64,0.7182745098039216,0.02286728505692497,0.765,0.12609520212918493,0.2522058823529412,0.10324534893216529,0.3619780219780219,0.09804661396418443,0.6112614029569047,0.09733239353284265,0.9522281639928698,0.03583996068397657
S005,252,64,0.7618039215686275,0.03161338928619816,0.7630952380952382,0.09452111067275812,0.46838235294117647,0.21657626097199342,0.5387156557479138,0.14434960563720342,0.7435809216734823,0.09884686657344095,0.910873440285205,0.08122359182755967
S006,252,64,0.7579607843137254,0.04009247288657446,0.7552350427350427,0.14533072180769938,0.438235294117647,0.11631599960755994,0.5395104895104896,0.09905278923993158,0.6892622155814199,0.04156575369841438,0.9172905525846703,0.06797359651588121
S007,252,64,0.9049411764705881,0.039941210161026135,0.8492628630399528,0.0738379772006623,0.8786764705882353,0.11146437977433647,0.8576588530148902,0.06462552406892033,0.9381245412603544,0.032679348978600614,0.9167557932263815,0.04741197902733041
S008,252,64,0.8730196078431373,0.03243343521903982,0.8305304172951231,0.06874778066159762,0.7860294117647059,0.05884190889336045,0.8051177743824802,0.04520957587282095,0.9044042282688476,0.030274364004389834,0.9163992869875223,0.04030018808651159
S011,252,64,0.8055686274509805,0.06244851474185796,0.8214795008912656,0.10049176714408765,0.5463235294117647,0.23970588235294113,0.620058458165875,0.1876217856159992,0.7952146901541364,0.11359283116286534,0.9340463458110516,0.05202121153454576
S014,252,64,0.8415686274509804,0.04425156146444465,0.8366060702283613,0.06922770380181678,0.6669117647058823,0.16408101003672326,0.7270886427073039,0.09354346720488002,0.8455050068155604,0.0686709529886898,0.928698752228164,0.04407936905125933
S015,252,64,0.844862745098039,0.054981231287825956,0.7929220779220779,0.08519936944448443,0.7242647058823529,0.1566366323759424,0.7491894508999772,0.10589164440123267,0.8849009122365524,0.03203549968981556,0.9046345811051694,0.0440541324251888
S016,252,64,0.7579607843137254,0.03150013273255207,0.7562795374560081,0.14823195595371239,0.463235294117647,0.07234337574264027,0.5596154607919314,0.025476876803457827,0.7278468071720667,0.049578131045065844,0.9042780748663102,0.074755031466478
