subject,method,k,num_channels_selected,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity,full_channels_acc,accuracy_drop,accuracy_drop_pct
S001,ES,10,10,0.7703529411764706,0.07098910140480866,0.6499999999999999,0.3511884584284246,0.40441176470588236,0.22058823529411767,0.4965305039787798,0.267163661103051,0.7133834014889379,0.09961182241026904,0.9527629233511586,0.047723923082157615,0.7301176470588235,-0.040235294117647036,-5.510796003867222
S001,ES,15,15,0.7894901960784315,0.028343366159098996,0.8030808080808081,0.10480502592839255,0.5125,0.0639156288591198,0.6177084183891748,0.04586532545879157,0.8033992607738283,0.061784165513998276,0.9290552584670232,0.05428268466502471,0.7301176470588235,-0.05937254901960798,-8.131915350735866
S001,ES,20,20,0.7302745098039216,0.03111106717193581,0.7184065934065934,0.1551991136684362,0.4014705882352942,0.17766750953575244,0.47135549038774843,0.1506214872414582,0.6765937925972528,0.06315373636424992,0.8930481283422459,0.06849189102319413,0.7301176470588235,-0.00015686274509807419,-0.02148458481040333
S001,ES,25,25,0.8097254901960784,0.07200299024078093,0.742703081232493,0.11239727826431242,0.6448529411764705,0.16408101003672323,0.685015477354187,0.14063725402304209,0.7990438555101186,0.12296806744662045,0.8926916221033867,0.045381437835207296,0.7301176470588235,-0.07960784313725489,-10.903426791277255
S001,ES,30,30,0.8057254901960785,0.06233967055721919,0.8455128205128204,0.11627858813716134,0.5022058823529412,0.16034807510634927,0.620189556015643,0.15613826438524284,0.7874128394673378,0.10061707427389431,0.9581105169340463,0.030771259361197994,0.7301176470588235,-0.07560784313725499,-10.355569878612108
S001,AS,10,10,0.7384313725490195,0.040095234572800606,0.6887393162393162,0.1157353722182501,0.4294117647058823,0.11098801331831298,0.5160474308300396,0.0912787407721102,0.7075429904582153,0.06252490548211467,0.8932263814616755,0.06049166092996482,0.7301176470588235,-0.008313725490195933,-1.1386829949511026
S001,AS,15,15,0.7581176470588235,0.05293182197674455,0.7172161172161171,0.06687966617451842,0.4264705882352941,0.2058823529411765,0.5084261974584556,0.1968533880616895,0.6975503302925448,0.09788554570105482,0.9224598930481284,0.035970048500903934,0.7301176470588235,-0.027999999999999914,-3.8349983886561274
S001,AS,20,20,0.7222745098039216,0.027354901890510357,0.6864285714285715,0.09393634164251412,0.32279411764705884,0.11392076709920183,0.42370370370370375,0.11936273403827471,0.6511370189787143,0.025708426375943193,0.9228163992869876,0.04398411524478258,0.7301176470588235,0.007843137254901933,1.074229240519923
S001,AS,25,25,0.8608627450980393,0.07070291338257789,0.8119117647058823,0.0927685685180209,0.7522058823529412,0.15429967920724985,0.7776799434507347,0.12495471502454701,0.8690019791338995,0.08441568742535369,0.9162210338680927,0.035779624007041176,0.7301176470588235,-0.13074509803921575,-17.90740143946719
S001,AS,30,30,0.7975686274509803,0.02353777629101513,0.786969696969697,0.06383838383838383,0.5588235294117647,0.13920187724940272,0.6397530186495703,0.0697466086683549,0.8009069938135681,0.07397118021829288,0.9169340463458111,0.05027686033400307,0.7301176470588235,-0.0674509803921568,-9.238371468471364
S002,ES,10,10,0.6942745098039216,0.02552769489121675,0.5644444444444445,0.322520934338253,0.16470588235294117,0.10120382667108974,0.24765900765900764,0.14195700444300896,0.5694400754954387,0.036347632511049804,0.9579322638146168,0.045215898637382124,0.7182745098039216,0.02400000000000002,3.341340904127542
S002,ES,15,15,0.7104313725490197,0.025608293543166866,0.671948051948052,0.09903808266990752,0.2860294117647059,0.08726178646556941,0.38851621808143544,0.09439481836644587,0.6354592639194715,0.08702485693445867,0.9231729055258467,0.0474381085300179,0.7182745098039216,0.007843137254901933,1.0919414719371003
