Subject,Baseline ARNN_Acc,Adaptive ARNN_Acc,FBCSP_Acc,CNN-SAE_Acc,EEGNet_Acc,ACS-SE-CNN_Acc,G-CARM_Acc,Best_Model,Best_Accuracy,Worst_Accuracy,Accuracy_Range
S001,0.8253968253968255,0.8293650793650794,0.6150793650793651,0.9285714285714284,0.9365079365079364,0.8650793650793651,0.8095238095238096,EEGNet,0.9365079365079364,0.6150793650793651,0.3214285714285713
S002,0.8134920634920636,0.7817460317460317,0.6785714285714285,0.7103174603174603,0.7896825396825395,0.6984126984126983,0.6746031746031745,Baseline ARNN,0.8134920634920636,0.6746031746031745,0.13888888888888906
S005,0.8373015873015873,0.8373015873015873,0.6190476190476191,0.8333333333333334,0.9166666666666666,0.7976190476190476,0.7857142857142857,EEGNet,0.9166666666666666,0.6190476190476191,0.29761904761904756
S006,0.7658730158730158,0.7579365079365079,0.5158730158730158,0.8015873015873015,0.9246031746031744,0.7380952380952381,0.7301587301587302,EEGNet,0.9246031746031744,0.5158730158730158,0.4087301587301586
S007,0.9007936507936508,0.9325396825396824,0.7261904761904762,0.9007936507936508,0.9603174603174603,0.8968253968253969,0.8571428571428571,EEGNet,0.9603174603174603,0.7261904761904762,0.23412698412698418
S008,0.9246031746031744,0.9087301587301588,0.6071428571428572,0.9087301587301588,0.9761904761904762,0.8928571428571429,0.873015873015873,EEGNet,0.9761904761904762,0.6071428571428572,0.36904761904761896
S011,0.7976190476190476,0.8134920634920636,0.5079365079365079,0.8888888888888888,0.9126984126984128,0.8333333333333334,0.7103174603174603,EEGNet,0.9126984126984128,0.5079365079365079,0.4047619047619049
S014,0.8809523809523809,0.8571428571428572,0.6746031746031745,0.8531746031746033,0.876984126984127,0.8253968253968255,0.7182539682539683,Baseline ARNN,0.8809523809523809,0.6746031746031745,0.2063492063492064
S015,0.9007936507936508,0.9087301587301588,0.746031746031746,0.8452380952380952,0.9126984126984128,0.8492063492063493,0.8571428571428572,EEGNet,0.9126984126984128,0.746031746031746,0.16666666666666674
S016,0.8531746031746033,0.8968253968253967,0.626984126984127,0.753968253968254,0.8174603174603176,0.746031746031746,0.7817460317460317,Adaptive ARNN,0.8968253968253967,0.626984126984127,0.26984126984126977
