subject,num_trials,num_channels,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity
S001,252,64,0.9563492063492064,0.014847846772912463,0.9516239316239318,0.012948647428653412,0.9166666666666666,0.060702613257056975,0.9323678482212423,0.024857390782165163,0.9863945578231293,0.006776095854808346,0.9761904761904762,0.008417937871268393
S002,252,64,0.7857142857142857,0.025717224993681995,0.6880341880341881,0.04275086759866048,0.6547619047619048,0.03367175148507373,0.6709315375982042,0.03766364474327657,0.8284438775510203,0.0409191678463439,0.8511904761904762,0.02227177015936871
S005,252,64,0.888888888888889,0.005611958580845648,0.9049651100375738,0.0404739403492426,0.75,0.0583211843519804,0.8171865715983362,0.018790573719377462,0.9472789115646258,0.0074435125000049,0.9583333333333334,0.022271770159368667
S006,252,64,0.9246031746031745,0.024461960329241934,0.9020824854158188,0.0452520223866982,0.8690476190476191,0.03367175148507373,0.8850489017155684,0.036978168335776905,0.957908163265306,0.024223502607558053,0.9523809523809524,0.022271770159368667
S007,252,64,0.9523809523809522,0.019440394783993453,0.9743589743589745,0.03626188621469472,0.8809523809523809,0.03367175148507373,0.9249762583095916,0.0302704225080897,0.9734268707482993,0.015967952345419985,0.9880952380952381,0.016835875742536838
S008,252,64,0.9603174603174603,0.011223917161691244,0.9514652014652015,0.016227147570210022,0.9285714285714287,0.0291605921759902,0.939594356261023,0.017492799316470346,0.9893707482993198,0.003694334012964006,0.9761904761904762,0.008417937871268393
S011,252,64,0.8888888888888888,0.005611958580845648,0.8549651100375738,0.04620228188251557,0.8095238095238094,0.044543540318737376,0.8291597516749647,0.005356389495496764,0.9402636054421768,0.013320110712432378,0.9285714285714287,0.0291605921759902
S014,252,64,0.8650793650793651,0.02023420441901902,0.8678398895790199,0.03340904746020599,0.7023809523809524,0.044543540318737376,0.7758180195154983,0.03656484590872278,0.9064625850340136,0.03835849386148017,0.9464285714285715,0.0145802960879951
S015,252,64,0.8968253968253969,0.04383079768725101,0.9123809523809524,0.06265479696532773,0.7619047619047619,0.08908708063747475,0.8293198266244088,0.07690951020110656,0.9243197278911565,0.022277856728416697,0.9642857142857143,0.025253813613805284
S016,252,64,0.8055555555555555,0.0368000733948242,0.7781593406593407,0.04520810094013074,0.5833333333333334,0.12140522651411392,0.6603105888820174,0.08351730166428149,0.8010204081632654,0.05149913583690312,0.9166666666666666,0.022271770159368667
