subject,method,k,num_selected,selected_channels,selected_indices,accuracy_full,is_full
S001,ES,10,16,"['Fc3', 'Fc2', 'C5', 'Cp5', 'Cp3', 'Cpz', 'Cp2', 'Fp1', 'Fpz', 'Af4', 'P7', 'P6', 'Po3', 'Po4', 'Po8', 'Oz']","[1, 4, 7, 14, 15, 17, 18, 21, 22, 27, 46, 53, 56, 58, 59, 61]",0.753223388305847,False
S001,ES,15,23,"['Fc3', 'Fc2', 'C5', 'Cz', 'C2', 'C6', 'Cp5', 'Cp3', 'Cpz', 'Cp2', 'Fp1', 'Fpz', 'Af4', 'Tp7', 'P7', 'P1', 'P6', 'Po7', 'Po3', 'Po4', 'Po8', 'Oz', 'Iz']","[1, 4, 7, 10, 11, 13, 14, 15, 17, 18, 21, 22, 27, 44, 46, 49, 53, 55, 56, 58, 59, 61, 63]",0.753223388305847,False
S001,ES,20,28,"['Fc3', 'Fc2', 'Fc6', 'C5', 'Cz', 'C2', 'C6', 'Cp5', 'Cp3', 'Cpz', 'Cp2', 'Fp1', 'Fpz', 'Af4', 'F5', 'F3', 'Tp7', 'P7', 'P5', 'P1', 'P6', 'Po7', 'Po3', 'Po4', 'Po8', 'O1', 'Oz', 'Iz']","[1, 4, 6, 7, 10, 11, 13, 14, 15, 17, 18, 21, 22, 27, 30, 31, 44, 46, 47, 49, 53, 55, 56, 58, 59, 60, 61, 63]",0.753223388305847,False
S001,ES,25,34,"['Fc3', 'Fc1', 'Fc2', 'Fc6', 'C5', 'Cz', 'C2', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Fp1', 'Fpz', 'Fp2', 'Af4', 'F5', 'F3', 'Fz', 'Ft8', 'Tp7', 'P7', 'P5', 'P1', 'P6', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'Iz']","[1, 2, 4, 6, 7, 10, 11, 13, 14, 15, 16, 17, 18, 21, 22, 23, 27, 30, 31, 33, 39, 44, 46, 47, 49, 53, 55, 56, 57, 58, 59, 60, 61, 63]",0.753223388305847,False
S001,ES,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]",0.753223388305847,True
S001,AS,10,10,"['C2', 'Cp1', 'Fp1', 'Fpz', 'Fp2', 'Afz', 'Af4', 'Tp7', 'P7', 'Oz']","[11, 16, 21, 22, 23, 26, 27, 44, 46, 61]",0.753223388305847,True
S001,AS,15,15,"['Fcz', 'C2', 'Cp3', 'Cp1', 'Fp1', 'Fpz', 'Fp2', 'Afz', 'Af4', 'Ft8', 'T9', 'Tp7', 'P7', 'Po4', 'Oz']","[3, 11, 15, 16, 21, 22, 23, 26, 27, 39, 42, 44, 46, 58, 61]",0.753223388305847,True
S001,AS,20,20,"['Fc3', 'Fcz', 'C1', 'C2', 'Cp3', 'Cp1', 'Fp1', 'Fpz', 'Fp2', 'Afz', 'Af4', 'F8', 'Ft8', 'T9', 'Tp7', 'P7', 'P6', 'Po4', 'Oz', 'Iz']","[1, 3, 9, 11, 15, 16, 21, 22, 23, 26, 27, 37, 39, 42, 44, 46, 53, 58, 61, 63]",0.753223388305847,True
S001,AS,25,25,"['Fc3', 'Fcz', 'C5', 'C1', 'C2', 'C4', 'Cp3', 'Cp1', 'Fp1', 'Fpz', 'Fp2', 'Afz', 'Af4', 'F3', 'Fz', 'F6', 'F8', 'Ft8', 'T9', 'Tp7', 'P7', 'P6', 'Po4', 'Oz', 'Iz']","[1, 3, 7, 9, 11, 12, 15, 16, 21, 22, 23, 26, 27, 31, 33, 36, 37, 39, 42, 44, 46, 53, 58, 61, 63]",0.753223388305847,True
S001,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]",0.753223388305847,True
