subject,method,k,num_channels_selected,accuracy,std,full_channels_acc,accuracy_drop,accuracy_drop_pct
S001,ES,10,18,0.8690476190476191,0.00972019739199675,0.8174603174603176,-0.051587301587301515,-6.3106796116504755
S001,ES,15,22,0.8412698412698414,0.039283710065919304,0.8174603174603176,-0.023809523809523836,-2.9126213592233037
S001,ES,20,29,0.7857142857142856,0.0194403947839935,0.8174603174603176,0.031746031746031966,3.8834951456310947
S001,ES,25,34,0.8809523809523809,0.0350466701044756,0.8174603174603176,-0.06349206349206338,-7.766990291262122
S001,AS,10,10,0.7380952380952381,0.0350466701044756,0.8174603174603176,0.07936507936507942,9.708737864077674
S001,AS,15,15,0.7896825396825399,0.011223917161691244,0.8174603174603176,0.02777777777777768,3.398058252427172
S001,AS,20,20,0.8253968253968255,0.022447834323382435,0.8174603174603176,-0.007936507936507908,-0.9708737864077635
S001,AS,25,25,0.8412698412698413,0.022447834323382432,0.8174603174603176,-0.023809523809523725,-2.9126213592232904
S002,ES,10,19,0.75,0.059125652483140265,0.7976190476190476,0.04761904761904756,5.9701492537313365
S002,ES,15,25,0.7182539682539684,0.014847846772912503,0.7976190476190476,0.0793650793650792,9.950248756218885
S002,ES,20,29,0.7222222222222223,0.020234204419019002,0.7976190476190476,0.07539682539682524,9.452736318407942
S002,ES,25,37,0.7341269841269842,0.061731544389301764,0.7976190476190476,0.06349206349206338,7.96019900497511
S002,AS,10,10,0.8134920634920636,0.022447834323382435,0.7976190476190476,-0.01587301587301604,-1.9900497512438018
S002,AS,15,15,0.7936507936507936,0.02805979290422808,0.7976190476190476,0.003968253968253954,0.4975124378109435
S002,AS,20,20,0.7698412698412698,0.014847846772912463,0.7976190476190476,0.02777777777777779,3.4825870646766184
S002,AS,25,25,0.7301587301587302,0.011223917161691244,0.7976190476190476,0.06746031746031733,8.457711442786055
S005,ES,10,15,0.8531746031746031,0.011223917161691244,0.8452380952380952,-0.007936507936507908,-0.9389671361502314
S005,ES,15,23,0.8293650793650794,0.022447834323382432,0.8452380952380952,0.015873015873015817,1.8779342723004628
S005,ES,20,29,0.8214285714285715,0.025717224993681943,0.8452380952380952,0.023809523809523725,2.8169014084506943
S005,ES,25,35,0.8134920634920636,0.036800073394824245,0.8452380952380952,0.03174603174603163,3.7558685446009257
S005,AS,10,10,0.873015873015873,0.024461960329241975,0.8452380952380952,-0.02777777777777779,-3.2863849765258233
S005,AS,15,15,0.8373015873015873,0.02805979290422803,0.8452380952380952,0.007936507936507908,0.9389671361502314
S005,AS,20,20,0.8888888888888888,0.024461960329241982,0.8452380952380952,-0.04365079365079361,-5.164319248826286
S005,AS,25,25,0.876984126984127,0.014847846772912503,0.8452380952380952,-0.031746031746031744,-3.755868544600939
S006,ES,10,16,0.8055555555555555,0.0341362113771533,0.7579365079365079,-0.04761904761904756,-6.282722513088998
S006,ES,15,23,0.8055555555555555,0.0341362113771533,0.7579365079365079,-0.04761904761904756,-6.282722513088998
S006,ES,20,30,0.7777777777777777,0.014847846772912503,0.7579365079365079,-0.01984126984126977,-2.61780104712041
S006,ES,25,36,0.7936507936507936,0.029695693545824964,0.7579365079365079,-0.0357142857142857,-4.712041884816752
S006,AS,10,10,0.8253968253968255,0.029695693545824926,0.7579365079365079,-0.06746031746031755,-8.900523560209436
S006,AS,15,15,0.7777777777777778,0.014847846772912503,0.7579365079365079,-0.019841269841269882,-2.6178010471204245
S006,AS,20,20,0.8293650793650794,0.014847846772912463,0.7579365079365079,-0.07142857142857151,-9.42408376963352
S006,AS,25,25,0.8015873015873015,0.022447834323382487,0.7579365079365079,-0.04365079365079361,-5.759162303664915
S007,ES,10,17,0.9126984126984127,0.014847846772912454,0.9325396825396824,0.01984126984126977,2.127659574468078
S007,ES,15,22,0.9206349206349206,0.024461960329241934,0.9325396825396824,0.011904761904761862,1.2765957446808467
S007,ES,20,29,0.9523809523809524,0.019440394783993453,0.9325396825396824,-0.019841269841269993,-2.1276595744681015
S007,ES,25,36,0.9444444444444445,0.024461960329241975,0.9325396825396824,-0.011904761904762085,-1.2765957446808704
S007,AS,10,10,0.9087301587301587,0.005611958580845595,0.9325396825396824,0.023809523809523725,2.5531914893616934
S007,AS,15,15,0.9325396825396824,0.014847846772912454,0.9325396825396824,0.0,0.0
S007,AS,20,20,0.9365079365079364,0.01122391716169119,0.9325396825396824,-0.003968253968253954,-0.4255319148936155
S007,AS,25,25,0.9365079365079366,0.024461960329241975,0.9325396825396824,-0.003968253968254176,-0.42553191489363934
S008,ES,10,17,0.8928571428571429,0.025717224993681995,0.9047619047619048,0.011904761904761862,1.3157894736842057
S008,ES,15,23,0.9246031746031745,0.029695693545824926,0.9047619047619048,-0.01984126984126977,-2.192982456140343
S008,ES,20,30,0.9126984126984127,0.022447834323382487,0.9047619047619048,-0.007936507936507908,-0.8771929824561372
S008,ES,25,36,0.9087301587301587,0.031246062992110336,0.9047619047619048,-0.003968253968253954,-0.4385964912280686
S008,AS,10,10,0.9047619047619048,0.04454354031873742,0.9047619047619048,0.0,0.0
S008,AS,15,15,0.9047619047619048,0.0194403947839935,0.9047619047619048,0.0,0.0
S008,AS,20,20,0.9047619047619048,0.0194403947839935,0.9047619047619048,0.0,0.0
S008,AS,25,25,0.9365079365079364,0.022447834323382435,0.9047619047619048,-0.03174603174603163,-3.5087719298245488
S011,ES,10,16,0.7857142857142857,0.038880789567986955,0.8174603174603176,0.031746031746031855,3.883495145631081
S011,ES,15,23,0.8253968253968255,0.029695693545824926,0.8174603174603176,-0.007936507936507908,-0.9708737864077635
S011,ES,20,30,0.8531746031746031,0.059391387091649844,0.8174603174603176,-0.03571428571428559,-4.368932038834935
S011,ES,25,36,0.8293650793650794,0.06324356131154454,0.8174603174603176,-0.011904761904761862,-1.4563106796116452
S011,AS,10,10,0.8333333333333334,0.0350466701044756,0.8174603174603176,-0.015873015873015817,-1.941747572815527
S011,AS,15,15,0.8531746031746031,0.031246062992110354,0.8174603174603176,-0.03571428571428559,-4.368932038834935
S011,AS,20,20,0.7976190476190476,0.00972019739199675,0.8174603174603176,0.019841269841269993,2.427184466019436
S011,AS,25,25,0.8055555555555557,0.005611958580845595,0.8174603174603176,0.011904761904761862,1.4563106796116452
S014,ES,10,18,0.8888888888888888,0.020234204419018968,0.8611111111111112,-0.02777777777777768,-3.2258064516128915
S014,ES,15,25,0.8928571428571428,0.016835875742536838,0.8611111111111112,-0.03174603174603163,-3.6866359447004475
S014,ES,20,30,0.8452380952380952,0.033671751485073675,0.8611111111111112,0.015873015873015928,1.8433179723502366
S014,ES,25,37,0.8412698412698413,0.024461960329241975,0.8611111111111112,0.019841269841269882,2.3041474654377927
S014,AS,10,10,0.7738095238095238,0.0350466701044756,0.8611111111111112,0.08730158730158732,10.138248847926269
S014,AS,15,15,0.7936507936507936,0.06472026361230195,0.8611111111111112,0.06746031746031755,7.834101382488489
S014,AS,20,20,0.8571428571428572,0.00972019739199675,0.8611111111111112,0.003968253968253954,0.46082949308755594
S014,AS,25,25,0.8174603174603173,0.03413621137715325,0.8611111111111112,0.04365079365079383,5.069124423963154
S015,ES,10,17,0.8571428571428572,0.04236935814298138,0.9166666666666666,0.05952380952380942,6.493506493506483
S015,ES,15,24,0.873015873015873,0.039283710065919304,0.9166666666666666,0.04365079365079361,4.761904761904757
S015,ES,20,29,0.8849206349206349,0.005611958580845648,0.9166666666666666,0.031746031746031744,3.463203463203463
S015,ES,25,33,0.9206349206349206,0.024461960329241934,0.9166666666666666,-0.003968253968253954,-0.43290043290043134
S015,AS,10,10,0.8492063492063492,0.039283710065919325,0.9166666666666666,0.06746031746031744,7.3593073593073575
S015,AS,15,15,0.873015873015873,0.020234204419019002,0.9166666666666666,0.04365079365079361,4.761904761904757
S015,AS,20,20,0.9007936507936507,0.014847846772912463,0.9166666666666666,0.015873015873015928,1.7316017316017376
S015,AS,25,25,0.8968253968253967,0.020234204419018968,0.9166666666666666,0.019841269841269882,2.164502164502169
S016,ES,10,18,0.876984126984127,0.06249212598422074,0.861111111111111,-0.015873015873015928,-1.843317972350237
S016,ES,15,23,0.7936507936507936,0.014847846772912463,0.861111111111111,0.06746031746031744,7.834101382488477
S016,ES,20,28,0.8253968253968255,0.05939138709164988,0.861111111111111,0.03571428571428559,4.147465437788004
S016,ES,25,32,0.8650793650793651,0.024461960329241975,0.861111111111111,-0.003968253968254065,-0.4608294930875689
S016,AS,10,10,0.8452380952380953,0.044543540318737376,0.861111111111111,0.015873015873015706,1.8433179723502109
S016,AS,15,15,0.8253968253968255,0.029695693545824926,0.861111111111111,0.03571428571428559,4.147465437788004
S016,AS,20,20,0.8650793650793651,0.056955159104790966,0.861111111111111,-0.003968253968254065,-0.4608294930875689
S016,AS,25,25,0.876984126984127,0.024461960329241975,0.861111111111111,-0.015873015873015928,-1.843317972350237
S020,ES,10,16,0.9444444444444443,0.005611958580845595,0.9761904761904762,0.031746031746031855,3.2520325203252147
S020,ES,15,23,0.9484126984126983,0.020234204419018968,0.9761904761904762,0.0277777777777779,2.8455284552845654
S020,ES,20,29,0.9523809523809524,0.019440394783993453,0.9761904761904762,0.023809523809523725,2.439024390243894
S020,ES,25,35,0.9523809523809524,0.025717224993681995,0.9761904761904762,0.023809523809523725,2.439024390243894
S020,AS,10,10,0.9603174603174603,0.020234204419019016,0.9761904761904762,0.015873015873015817,1.6260162601625958
S020,AS,15,15,0.9563492063492062,0.014847846772912461,0.9761904761904762,0.019841269841269993,2.0325203252032678
S020,AS,20,20,0.9682539682539683,0.011223917161691244,0.9761904761904762,0.007936507936507908,0.8130081300812979
S020,AS,25,25,0.9761904761904763,0.00972019739199675,0.9761904761904762,-1.1102230246251565e-16,-1.1373016349818677e-14
S030,ES,10,17,0.7380952380952381,0.00972019739199675,0.8412698412698413,0.10317460317460314,12.264150943396222
S030,ES,15,23,0.7857142857142856,0.0194403947839935,0.8412698412698413,0.05555555555555569,6.603773584905677
S030,ES,20,30,0.8174603174603176,0.014847846772912454,0.8412698412698413,0.023809523809523725,2.830188679245273
S030,ES,25,33,0.7857142857142857,0.025717224993681995,0.8412698412698413,0.05555555555555558,6.603773584905663
S030,AS,10,10,0.6944444444444443,0.014847846772912463,0.8412698412698413,0.14682539682539697,17.452830188679265
S030,AS,15,15,0.8373015873015873,0.005611958580845595,0.8412698412698413,0.003968253968253954,0.4716981132075455
S030,AS,20,20,0.8174603174603176,0.020234204419018968,0.8412698412698413,0.023809523809523725,2.830188679245273
S030,AS,25,25,0.8293650793650794,0.05353467286996846,0.8412698412698413,0.011904761904761862,1.4150943396226365
S031,ES,10,18,0.8571428571428572,0.033671751485073675,0.865079365079365,0.007936507936507797,0.9174311926605344
S031,ES,15,25,0.8571428571428571,0.05832118435198045,0.865079365079365,0.007936507936507908,0.9174311926605472
S031,ES,20,29,0.884920634920635,0.0341362113771533,0.865079365079365,-0.019841269841269993,-2.293577981651394
S031,ES,25,35,0.861111111111111,0.04383079768725102,0.865079365079365,0.003968253968253954,0.4587155963302736
S031,AS,10,10,0.8650793650793651,0.02023420441901902,0.865079365079365,-1.1102230246251565e-16,-1.2833770743373371e-14
S031,AS,15,15,0.8690476190476191,0.03504667010447556,0.865079365079365,-0.003968253968254065,-0.45871559633028647
S031,AS,20,20,0.876984126984127,0.005611958580845595,0.865079365079365,-0.011904761904761973,-1.3761467889908336
S031,AS,25,25,0.8492063492063492,0.04383079768725102,0.865079365079365,0.015873015873015817,1.8348623853210944
S032,ES,10,18,0.9166666666666666,0.016835875742536838,0.9047619047619048,-0.011904761904761862,-1.3157894736842057
S032,ES,15,25,0.9166666666666666,0.025717224993681943,0.9047619047619048,-0.011904761904761862,-1.3157894736842057
S032,ES,20,32,0.9246031746031745,0.020234204419018968,0.9047619047619048,-0.01984126984126977,-2.192982456140343
S032,ES,25,36,0.9047619047619048,0.009720197391996704,0.9047619047619048,0.0,0.0
S032,AS,10,10,0.9007936507936508,0.024461960329241975,0.9047619047619048,0.003968253968253954,0.4385964912280686
S032,AS,15,15,0.8968253968253967,0.04383079768725101,0.9047619047619048,0.00793650793650802,0.8771929824561495
S032,AS,20,20,0.9047619047619048,0.016835875742536838,0.9047619047619048,0.0,0.0
S032,AS,25,25,0.9126984126984127,0.04489566864676491,0.9047619047619048,-0.007936507936507908,-0.8771929824561372
S033,ES,10,17,0.8531746031746031,0.005611958580845595,0.861111111111111,0.007936507936507908,0.9216589861751121
S033,ES,15,24,0.8492063492063492,0.020234204419019002,0.861111111111111,0.011904761904761862,1.382488479262668
S033,ES,20,29,0.876984126984127,0.005611958580845596,0.861111111111111,-0.015873015873015928,-1.843317972350237
S033,ES,25,35,0.8611111111111112,0.024461960329241982,0.861111111111111,-1.1102230246251565e-16,-1.2892912544034077e-14
S033,AS,10,10,0.8333333333333334,0.025717224993681943,0.861111111111111,0.02777777777777768,3.225806451612892
S033,AS,15,15,0.8928571428571429,0.04236935814298138,0.861111111111111,-0.031746031746031855,-3.686635944700474
S033,AS,20,20,0.8968253968253969,0.039283710065919304,0.861111111111111,-0.03571428571428581,-4.147465437788029
S033,AS,25,25,0.9007936507936508,0.005611958580845595,0.861111111111111,-0.039682539682539764,-4.608294930875586
S034,ES,10,17,0.8452380952380952,0.009720197391996704,0.8849206349206349,0.03968253968253965,4.484304932735423
S034,ES,15,22,0.8809523809523809,0.038880789567986955,0.8849206349206349,0.003968253968253954,0.448430493273541
S034,ES,20,28,0.9126984126984127,0.020234204419018968,0.8849206349206349,-0.02777777777777779,-3.1390134529147997
S034,ES,25,34,0.8531746031746031,0.0489239206584839,0.8849206349206349,0.031746031746031744,3.587443946188341
S034,AS,10,10,0.9285714285714285,0.016835875742536838,0.8849206349206349,-0.04365079365079361,-4.932735426008964
S034,AS,15,15,0.9087301587301587,0.014847846772912463,0.8849206349206349,-0.023809523809523836,-2.690582959641259
S034,AS,20,20,0.9047619047619048,0.016835875742536838,0.8849206349206349,-0.019841269841269882,-2.2421524663677177
S034,AS,25,25,0.9166666666666666,0.0291605921759902,0.8849206349206349,-0.031746031746031744,-3.587443946188341
S035,ES,10,18,0.9007936507936507,0.014847846772912463,0.9047619047619048,0.003968253968254065,0.4385964912280809
S035,ES,15,24,0.8928571428571428,0.016835875742536838,0.9047619047619048,0.011904761904761973,1.3157894736842182
S035,ES,20,31,0.9007936507936508,0.04892392065848395,0.9047619047619048,0.003968253968253954,0.4385964912280686
S035,ES,25,32,0.9166666666666666,0.016835875742536838,0.9047619047619048,-0.011904761904761862,-1.3157894736842057
S035,AS,10,10,0.9444444444444445,0.022447834323382435,0.9047619047619048,-0.039682539682539764,-4.385964912280711
S035,AS,15,15,0.9007936507936508,0.020234204419019006,0.9047619047619048,0.003968253968253954,0.4385964912280686
S035,AS,20,20,0.8968253968253967,0.020234204419018968,0.9047619047619048,0.00793650793650802,0.8771929824561495
S035,AS,25,25,0.9047619047619048,0.0194403947839935,0.9047619047619048,0.0,0.0
S036,ES,10,19,0.8134920634920636,0.024461960329241975,0.876984126984127,0.06349206349206338,7.239819004524874
S036,ES,15,26,0.876984126984127,0.029695693545824915,0.876984126984127,0.0,0.0
S036,ES,20,30,0.8492063492063492,0.0341362113771533,0.876984126984127,0.02777777777777779,3.167420814479639
S036,ES,25,36,0.9206349206349206,0.005611958580845648,0.876984126984127,-0.04365079365079361,-4.9773755656108545
S036,AS,10,10,0.8452380952380952,0.025717224993681977,0.876984126984127,0.031746031746031744,3.619909502262443
S036,AS,15,15,0.8809523809523809,0.00972019739199675,0.876984126984127,-0.003968253968253954,-0.4524886877828038
S036,AS,20,20,0.8452380952380952,0.0350466701044756,0.876984126984127,0.031746031746031744,3.619909502262443
S036,AS,25,25,0.8690476190476191,0.016835875742536838,0.876984126984127,0.007936507936507908,0.9049773755656076
S037,ES,10,19,0.8253968253968255,0.020234204419018968,0.8690476190476191,0.04365079365079361,5.022831050228305
S037,ES,15,28,0.8373015873015873,0.020234204419018968,0.8690476190476191,0.031746031746031744,3.65296803652968
S037,ES,20,34,0.7976190476190476,0.025717224993681995,0.8690476190476191,0.07142857142857151,8.21917808219179
S037,ES,25,40,0.8333333333333334,0.054119768638832756,0.8690476190476191,0.0357142857142857,4.109589041095889
S037,AS,10,10,0.8412698412698413,0.01122391716169119,0.8690476190476191,0.02777777777777779,3.1963470319634717
S037,AS,15,15,0.8253968253968255,0.024461960329241934,0.8690476190476191,0.04365079365079361,5.022831050228305
S037,AS,20,20,0.8373015873015873,0.014847846772912454,0.8690476190476191,0.031746031746031744,3.65296803652968
S037,AS,25,25,0.8333333333333334,0.03504667010447556,0.8690476190476191,0.0357142857142857,4.109589041095889
S038,ES,10,19,0.7579365079365079,0.04794859513331181,0.8015873015873017,0.04365079365079383,5.445544554455467
S038,ES,15,23,0.75,0.05411976863883274,0.8015873015873017,0.05158730158730174,6.435643564356452
S038,ES,20,28,0.7341269841269842,0.02805979290422808,0.8015873015873017,0.06746031746031755,8.415841584158427
S038,ES,25,32,0.7777777777777777,0.061731544389301764,0.8015873015873017,0.023809523809524058,2.9702970297030005
S038,AS,10,10,0.7738095238095237,0.00972019739199675,0.8015873015873017,0.027777777777778012,3.465346534653494
S038,AS,15,15,0.7976190476190476,0.048600986959983654,0.8015873015873017,0.003968253968254176,0.4950495049505209
S038,AS,20,20,0.7420634920634921,0.053534672869968436,0.8015873015873017,0.059523809523809645,7.425742574257439
S038,AS,25,25,0.7817460317460316,0.06472026361230195,0.8015873015873017,0.019841269841270104,2.4752475247525076
