subject,method,k,num_channels_selected,accuracy,std,full_channels_acc,accuracy_drop,accuracy_drop_pct
S001,ES,10,17,0.9047619047619048,0.009720197391996704,0.8968253968253967,-0.00793650793650802,-0.8849557522123987
S001,ES,15,23,0.9126984126984127,0.005611958580845595,0.8968253968253967,-0.015873015873015928,-1.769911504424785
S001,ES,20,28,0.873015873015873,0.011223917161691244,0.8968253968253967,0.023809523809523725,2.654867256637159
S001,ES,25,33,0.9087301587301587,0.005611958580845595,0.8968253968253967,-0.011904761904761973,-1.327433628318592
S001,AS,10,10,0.9126984126984127,0.024461960329241975,0.8968253968253967,-0.015873015873015928,-1.769911504424785
S001,AS,15,15,0.9047619047619048,0.0194403947839935,0.8968253968253967,-0.00793650793650802,-0.8849557522123987
S001,AS,20,20,0.8968253968253967,0.014847846772912452,0.8968253968253967,0.0,0.0
S001,AS,25,25,0.9206349206349206,0.0341362113771533,0.8968253968253967,-0.023809523809523836,-2.6548672566371714
S002,ES,10,18,0.746031746031746,0.024461960329241975,0.7896825396825397,0.04365079365079361,5.527638190954769
S002,ES,15,26,0.7341269841269842,0.036800073394824225,0.7896825396825397,0.05555555555555547,7.035175879396974
S002,ES,20,34,0.8134920634920636,0.005611958580845595,0.7896825396825397,-0.023809523809523947,-3.0150753768844396
S002,ES,25,39,0.8015873015873017,0.024461960329241975,0.7896825396825397,-0.011904761904762085,-1.5075376884422338
S002,AS,10,10,0.75,0.025717224993681977,0.7896825396825397,0.03968253968253965,5.0251256281406995
S002,AS,15,15,0.7738095238095238,0.0423693581429814,0.7896825396825397,0.015873015873015817,2.0100502512562746
S002,AS,20,20,0.7738095238095238,0.0194403947839935,0.7896825396825397,0.015873015873015817,2.0100502512562746
S002,AS,25,25,0.8492063492063492,0.005611958580845595,0.7896825396825397,-0.059523809523809534,-7.537688442211057
S005,ES,10,17,0.8333333333333334,0.05050762722761057,0.8492063492063493,0.015873015873015928,1.869158878504679
S005,ES,15,25,0.8452380952380952,0.016835875742536838,0.8492063492063493,0.003968253968254065,0.46728971962617954
S005,ES,20,31,0.8452380952380952,0.009720197391996704,0.8492063492063493,0.003968253968254065,0.46728971962617954
S005,ES,25,36,0.876984126984127,0.020234204419019002,0.8492063492063493,-0.02777777777777768,-3.2710280373831653
S005,AS,10,10,0.7896825396825397,0.0341362113771533,0.8492063492063493,0.059523809523809645,7.009345794392536
S005,AS,15,15,0.8055555555555557,0.05939138709164988,0.8492063492063493,0.04365079365079361,5.140186915887845
S005,AS,20,20,0.8015873015873017,0.0489239206584839,0.8492063492063493,0.04761904761904756,5.607476635514011
S005,AS,25,25,0.8134920634920636,0.04988017892847831,0.8492063492063493,0.0357142857142857,4.205607476635512
S006,ES,10,16,0.8015873015873015,0.036800073394824225,0.8015873015873015,0.0,0.0
S006,ES,15,23,0.7896825396825397,0.02805979290422808,0.8015873015873015,0.011904761904761862,1.48514851485148
S006,ES,20,28,0.8333333333333334,0.019440394783993453,0.8015873015873015,-0.031746031746031855,-3.960396039603974
S006,ES,25,34,0.8134920634920636,0.011223917161691192,0.8015873015873015,-0.011904761904762085,-1.4851485148515076
S006,AS,10,10,0.7142857142857143,0.00972019739199675,0.8015873015873015,0.08730158730158721,10.891089108910881
S006,AS,15,15,0.7777777777777778,0.020234204419019002,0.8015873015873015,0.023809523809523725,2.97029702970296
S006,AS,20,20,0.7698412698412698,0.024461960329241975,0.8015873015873015,0.031746031746031744,3.9603960396039604
S006,AS,25,25,0.7738095238095238,0.0194403947839935,0.8015873015873015,0.02777777777777768,3.4653465346534533
S007,ES,10,18,0.8968253968253969,0.024461960329241975,0.9047619047619048,0.007936507936507908,0.8771929824561372
S007,ES,15,26,0.9166666666666666,0.025717224993681995,0.9047619047619048,-0.011904761904761862,-1.3157894736842057
S007,ES,20,31,0.9047619047619048,0.0291605921759902,0.9047619047619048,0.0,0.0
S007,ES,25,40,0.9206349206349206,0.03680007339482419,0.9047619047619048,-0.015873015873015817,-1.7543859649122744
S007,AS,10,10,0.9087301587301587,0.029695693545824915,0.9047619047619048,-0.003968253968253954,-0.4385964912280686
S007,AS,15,15,0.9047619047619048,0.009720197391996704,0.9047619047619048,0.0,0.0
S007,AS,20,20,0.9166666666666666,0.025717224993681943,0.9047619047619048,-0.011904761904761862,-1.3157894736842057
S007,AS,25,25,0.9285714285714287,0.0291605921759902,0.9047619047619048,-0.023809523809523947,-2.6315789473684363
S008,ES,10,19,0.9246031746031745,0.014847846772912463,0.9444444444444443,0.01984126984126977,2.1008403361344468
S008,ES,15,26,0.9523809523809524,0.016835875742536838,0.9444444444444443,-0.00793650793650813,-0.8403361344538021
S008,ES,20,32,0.8968253968253967,0.014847846772912454,0.9444444444444443,0.04761904761904756,5.042016806722684
S008,ES,25,37,0.9166666666666666,0.0291605921759902,0.9444444444444443,0.02777777777777768,2.9411764705882253
S008,AS,10,10,0.9087301587301587,0.005611958580845596,0.9444444444444443,0.03571428571428559,3.7815126050420043
S008,AS,15,15,0.9325396825396824,0.005611958580845595,0.9444444444444443,0.011904761904761862,1.260504201680668
S008,AS,20,20,0.9285714285714285,0.019440394783993453,0.9444444444444443,0.015873015873015817,1.6806722689075575
S008,AS,25,25,0.9325396825396824,0.022447834323382487,0.9444444444444443,0.011904761904761862,1.260504201680668
S011,ES,10,18,0.876984126984127,0.02805979290422808,0.873015873015873,-0.003968253968253954,-0.454545454545453
S011,ES,15,24,0.8412698412698413,0.01122391716169119,0.873015873015873,0.031746031746031744,3.6363636363636362
S011,ES,20,31,0.8611111111111112,0.014847846772912463,0.873015873015873,0.011904761904761862,1.3636363636363587
S011,ES,25,37,0.8809523809523809,0.00972019739199675,0.873015873015873,-0.007936507936507908,-0.909090909090906
S011,AS,10,10,0.8452380952380952,0.0350466701044756,0.873015873015873,0.02777777777777779,3.181818181818183
S011,AS,15,15,0.8452380952380952,0.016835875742536838,0.873015873015873,0.02777777777777779,3.181818181818183
S011,AS,20,20,0.8412698412698413,0.04046840883803797,0.873015873015873,0.031746031746031744,3.6363636363636362
S011,AS,25,25,0.8214285714285715,0.019440394783993453,0.873015873015873,0.051587301587301515,5.9090909090909
S014,ES,10,16,0.7738095238095238,0.0194403947839935,0.8134920634920636,0.039682539682539764,4.878048780487814
S014,ES,15,24,0.7777777777777777,0.039283710065919304,0.8134920634920636,0.03571428571428592,4.390243902439049
S014,ES,20,30,0.7857142857142857,0.025717224993681995,0.8134920634920636,0.0277777777777779,3.4146341463414784
S014,ES,25,35,0.7857142857142857,0.033671751485073675,0.8134920634920636,0.0277777777777779,3.4146341463414784
S014,AS,10,10,0.7658730158730158,0.04046840883803797,0.8134920634920636,0.04761904761904778,5.853658536585385
S014,AS,15,15,0.7857142857142857,0.025717224993681977,0.8134920634920636,0.0277777777777779,3.4146341463414784
S014,AS,20,20,0.7579365079365079,0.029695693545824964,0.8134920634920636,0.05555555555555569,6.829268292682943
S014,AS,25,25,0.7896825396825397,0.05695515910479097,0.8134920634920636,0.023809523809523947,2.9268292682926993
S015,ES,10,18,0.9126984126984127,0.011223917161691244,0.9126984126984127,0.0,0.0
S015,ES,15,23,0.9007936507936507,0.014847846772912463,0.9126984126984127,0.011904761904761973,1.304347826086964
S015,ES,20,31,0.9047619047619048,0.009720197391996704,0.9126984126984127,0.007936507936507908,0.8695652173913012
S015,ES,25,38,0.9047619047619048,0.025717224993681977,0.9126984126984127,0.007936507936507908,0.8695652173913012
S015,AS,10,10,0.8611111111111112,0.014847846772912463,0.9126984126984127,0.051587301587301515,5.6521739130434705
S015,AS,15,15,0.8571428571428571,0.029160592175990246,0.9126984126984127,0.05555555555555558,6.0869565217391335
S015,AS,20,20,0.8611111111111112,0.011223917161691244,0.9126984126984127,0.051587301587301515,5.6521739130434705
S015,AS,25,25,0.876984126984127,0.005611958580845596,0.9126984126984127,0.0357142857142857,3.913043478260868
S016,ES,10,18,0.753968253968254,0.04046840883803797,0.7738095238095238,0.019841269841269882,2.564102564102569
S016,ES,15,25,0.7619047619047619,0.025717224993681995,0.7738095238095238,0.011904761904761973,1.5384615384615472
S016,ES,20,31,0.7619047619047619,0.0350466701044756,0.7738095238095238,0.011904761904761973,1.5384615384615472
S016,ES,25,34,0.75,0.0350466701044756,0.7738095238095238,0.023809523809523836,3.07692307692308
S016,AS,10,10,0.75,0.0291605921759902,0.7738095238095238,0.023809523809523836,3.07692307692308
S016,AS,15,15,0.7658730158730158,0.024461960329241982,0.7738095238095238,0.00793650793650802,1.0256410256410364
S016,AS,20,20,0.7619047619047619,0.05912565248314023,0.7738095238095238,0.011904761904761973,1.5384615384615472
S016,AS,25,25,0.7579365079365079,0.043830797687251066,0.7738095238095238,0.015873015873015928,2.051282051282058
S020,ES,10,18,0.9722222222222222,0.014847846772912503,0.9722222222222222,0.0,0.0
S020,ES,15,24,0.9682539682539683,0.024461960329241975,0.9722222222222222,0.003968253968253954,0.408163265306121
S020,ES,20,29,0.9682539682539683,0.020234204419019002,0.9722222222222222,0.003968253968253954,0.408163265306121
S020,ES,25,35,0.9761904761904763,0.00972019739199675,0.9722222222222222,-0.003968253968254065,-0.40816326530613245
S020,AS,10,10,0.9563492063492064,0.005611958580845648,0.9722222222222222,0.015873015873015817,1.632653061224484
S020,AS,15,15,0.9642857142857143,0.016835875742536838,0.9722222222222222,0.007936507936507908,0.816326530612242
S020,AS,20,20,0.9642857142857143,0.00972019739199675,0.9722222222222222,0.007936507936507908,0.816326530612242
S020,AS,25,25,0.9722222222222222,0.005611958580845595,0.9722222222222222,0.0,0.0
S030,ES,10,17,0.8928571428571428,0.019440394783993453,0.8690476190476191,-0.023809523809523725,-2.7397260273972504
S030,ES,15,22,0.9007936507936508,0.024461960329241975,0.8690476190476191,-0.031746031746031744,-3.65296803652968
S030,ES,20,27,0.8849206349206349,0.014847846772912463,0.8690476190476191,-0.015873015873015817,-1.8264840182648334
S030,ES,25,35,0.9007936507936508,0.020234204419019002,0.8690476190476191,-0.031746031746031744,-3.65296803652968
S030,AS,10,10,0.8214285714285715,0.019440394783993453,0.8690476190476191,0.04761904761904756,5.479452054794514
S030,AS,15,15,0.8214285714285715,0.019440394783993453,0.8690476190476191,0.04761904761904756,5.479452054794514
S030,AS,20,20,0.8531746031746031,0.014847846772912454,0.8690476190476191,0.015873015873015928,1.8264840182648463
S030,AS,25,25,0.8650793650793651,0.02023420441901902,0.8690476190476191,0.003968253968253954,0.45662100456620835
S031,ES,10,16,0.8174603174603176,0.05527138205231796,0.8809523809523809,0.06349206349206338,7.207207207207195
S031,ES,15,22,0.8611111111111112,0.07360014678964845,0.8809523809523809,0.01984126984126977,2.2522522522522443
S031,ES,20,29,0.861111111111111,0.05695515910479095,0.8809523809523809,0.019841269841269882,2.252252252252257
S031,ES,25,35,0.873015873015873,0.04794859513331178,0.8809523809523809,0.007936507936507908,0.9009009009008978
S031,AS,10,10,0.8690476190476191,0.0291605921759902,0.8809523809523809,0.011904761904761862,1.3513513513513467
S031,AS,15,15,0.8650793650793651,0.0368000733948242,0.8809523809523809,0.015873015873015817,1.8018018018017956
S031,AS,20,20,0.884920634920635,0.06827242275430655,0.8809523809523809,-0.003968253968254065,-0.45045045045046145
S031,AS,25,25,0.9206349206349206,0.020234204419018968,0.8809523809523809,-0.03968253968253965,-4.504504504504501
S032,ES,10,16,0.9325396825396827,0.024461960329241975,0.9285714285714285,-0.003968253968254176,-0.42735042735044976
S032,ES,15,23,0.9365079365079364,0.020234204419019002,0.9285714285714285,-0.007936507936507908,-0.8547008547008517
S032,ES,20,28,0.9603174603174603,0.005611958580845648,0.9285714285714285,-0.031746031746031855,-3.418803418803431
S032,ES,25,33,0.9246031746031745,0.020234204419018968,0.9285714285714285,0.003968253968253954,0.42735042735042583
S032,AS,10,10,0.9126984126984127,0.04593586072535801,0.9285714285714285,0.015873015873015817,1.7094017094017033
S032,AS,15,15,0.9523809523809524,0.00972019739199675,0.9285714285714285,-0.023809523809523947,-2.5641025641025794
S032,AS,20,20,0.9325396825396824,0.024461960329241975,0.9285714285714285,-0.003968253968253954,-0.42735042735042583
