subject,num_trials,num_channels,accuracy,std
S001,252,64,0.8373015873015873,0.039283710065919325
S002,252,64,0.7857142857142857,0.0291605921759902
S005,252,64,0.8492063492063493,0.022447834323382435
S006,252,64,0.8174603174603176,0.005611958580845595
S007,252,64,0.9285714285714287,0.0291605921759902
S008,252,64,0.9246031746031745,0.031246062992110354
S011,252,64,0.8134920634920636,0.022447834323382435
S014,252,64,0.876984126984127,0.014847846772912503
S015,252,64,0.9126984126984127,0.020234204419018968
S016,252,64,0.8690476190476191,0.05912565248314023
S020,252,64,0.9642857142857143,0.016835875742536838
S030,252,64,0.8412698412698413,0.020234204419019006
S031,252,64,0.8968253968253969,0.04383079768725101
S032,252,64,0.9285714285714285,0.025717224993681943
S033,252,64,0.8531746031746033,0.014847846772912452
S034,252,64,0.888888888888889,0.005611958580845648
S035,252,64,0.8968253968253967,0.011223917161691244
S036,252,64,0.8809523809523809,0.03504667010447556
S037,252,64,0.8253968253968255,0.031246062992110354
S038,252,64,0.8492063492063492,0.005611958580845595
