subject,method,k,num_channels_selected,selected_channels,accuracy,std,full_channels_acc,accuracy_drop,accuracy_drop_pct
S001,ES,10,18,"['Fc1', 'Fcz', 'Fc2', 'C2', 'Cp5', 'Cp1', 'Cpz', 'Fp2', 'Af7', 'Af3', 'Af4', 'Af8', 'F1', 'F8', 'P7', 'Po7', 'O1', 'O2']",0.4719265367316342,0.01502998500749625,0.6843703148425787,0.2124437781109445,31.0422257516841
S001,ES,15,25,"['Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C2', 'C4', 'Cp5', 'Cp1', 'Cpz', 'Cp6', 'Fp2', 'Af7', 'Af3', 'Af4', 'Af8', 'F1', 'F8', 'T8', 'T9', 'P7', 'P4', 'Po7', 'O1', 'O2']",0.5322338830584707,0.05397301349325334,0.6843703148425787,0.15213643178410796,22.23013308505395
S001,ES,20,31,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C2', 'C4', 'Cp5', 'Cp1', 'Cpz', 'Cp6', 'Fp1', 'Fp2', 'Af7', 'Af3', 'Af4', 'Af8', 'F5', 'F1', 'F8', 'T8', 'T9', 'P7', 'P5', 'P4', 'Po7', 'O1', 'O2', 'Iz']",0.6321964017991004,0.0373688155922039,0.6843703148425787,0.05217391304347829,7.623637658141195
S001,ES,25,36,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C2', 'C4', 'Cp5', 'Cp1', 'Cpz', 'Cp6', 'Fp1', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F5', 'F1', 'F8', 'T8', 'T9', 'P7', 'P5', 'P4', 'Po7', 'Po3', 'Po4', 'Po8', 'O1', 'O2', 'Iz']",0.6969640179910045,0.001311844077961033,0.6843703148425787,-0.012593703148425783,-1.8401884002409763
S001,AS,10,10,"['C5', 'C1', 'Af7', 'Af8', 'F5', 'F2', 'Ft7', 'Ft8', 'T9', 'O1']",0.6059970014992504,0.014692653673163414,0.6843703148425787,0.07837331334332831,11.451886740785362
S001,AS,15,15,"['Fc3', 'Fc1', 'C5', 'C1', 'C2', 'Cpz', 'Af7', 'Af8', 'F5', 'F2', 'Ft7', 'Ft8', 'T9', 'T10', 'O1']",0.5103823088455772,0.10168665667166413,0.6843703148425787,0.17398800599700148,25.423079029519684
S001,AS,20,20,"['Fc3', 'Fc1', 'C5', 'C1', 'C2', 'Cp3', 'Cpz', 'Cp6', 'Af7', 'Af8', 'F5', 'Fz', 'F2', 'Ft7', 'Ft8', 'T7', 'T9', 'T10', 'P6', 'O1']",0.5621064467766117,0.15341079460269866,0.6843703148425787,0.12226386806596701,17.865162385672818
S001,AS,25,25,"['Fc3', 'Fc1', 'Fcz', 'C5', 'C1', 'C2', 'Cp3', 'Cpz', 'Cp2', 'Cp6', 'Af7', 'Af8', 'F5', 'F3', 'Fz', 'F2', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'P6', 'Po7', 'O1']",0.5795352323838081,0.12736131934032982,0.6843703148425787,0.1048350824587706,15.318473081767895
S002,ES,10,18,"['Fc5', 'Fc6', 'C2', 'Cp5', 'Cpz', 'Fp1', 'Fp2', 'Af7', 'F1', 'F4', 'T8', 'Tp7', 'P3', 'Pz', 'P6', 'P8', 'Po3', 'Po4']",0.6320464767616192,0.0027361319340329926,0.6925037481259371,0.06045727136431789,8.730244641697343
S002,ES,15,27,"['Fc5', 'Fc1', 'Fc6', 'Cz', 'C2', 'Cp5', 'Cpz', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'F5', 'F1', 'F4', 'Ft8', 'T8', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P4', 'P6', 'P8', 'Po3', 'Po4', 'Iz']",0.6492128935532233,0.031821589205397294,0.6925037481259371,0.043290854572713755,6.251353106733075
