subject,method,k,num_selected,selected_channels,accuracy_full
S001,ES,10,18,"['C3', 'C2', 'C4', 'Cp5', 'Af3', 'Afz', 'F5', 'F1', 'F2', 'F6', 'T7', 'T8', 'Tp8', 'P3', 'P4', 'P8', 'Po7', 'O1']",0.7531859070464768
S001,ES,15,25,"['Fc3', 'Fc4', 'C3', 'C2', 'C4', 'Cp5', 'Cp1', 'Af3', 'Afz', 'Af8', 'F5', 'F1', 'F2', 'F6', 'T7', 'T8', 'Tp8', 'P3', 'P1', 'P4', 'P8', 'Po7', 'Po4', 'Po8', 'O1']",0.7531859070464768
S001,ES,20,28,"['Fc3', 'Fc4', 'C3', 'C2', 'C4', 'Cp5', 'Cp1', 'Af3', 'Afz', 'Af8', 'F5', 'F3', 'F1', 'F2', 'F6', 'Ft7', 'T7', 'T8', 'Tp8', 'P3', 'P1', 'P4', 'P8', 'Po7', 'Po4', 'Po8', 'O1', 'Oz']",0.7531859070464768
S001,ES,25,33,"['Fc3', 'Fcz', 'Fc4', 'C3', 'C2', 'C4', 'Cp5', 'Cp1', 'Fpz', 'Fp2', 'Af3', 'Afz', 'Af8', 'F5', 'F3', 'F1', 'F2', 'F6', 'Ft7', 'T7', 'T8', 'Tp8', 'P3', 'P1', 'Pz', 'P4', 'P8', 'Po7', 'Po3', 'Po4', 'Po8', 'O1', 'Oz']",0.7531859070464768
S001,ES,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.7531859070464768
S001,AS,10,10,"['Fcz', 'C5', 'C2', 'Ft7', 'T7', 'Tp7', 'Tp8', 'P1', 'Po4', 'Po8']",0.7531859070464768
S001,AS,15,15,"['Fcz', 'Fc6', 'C5', 'C3', 'C2', 'Afz', 'Af8', 'F6', 'Ft7', 'T7', 'Tp7', 'Tp8', 'P1', 'Po4', 'Po8']",0.7531859070464768
S001,AS,20,20,"['Fcz', 'Fc4', 'Fc6', 'C5', 'C3', 'C2', 'C4', 'Afz', 'Af8', 'Fz', 'F2', 'F6', 'Ft7', 'T7', 'Tp7', 'Tp8', 'P1', 'Po4', 'Po8', 'O1']",0.7531859070464768
S001,AS,25,25,"['Fcz', 'Fc4', 'Fc6', 'C5', 'C3', 'Cz', 'C2', 'C4', 'Afz', 'Af8', 'Fz', 'F2', 'F6', 'Ft7', 'T7', 'T8', 'Tp7', 'Tp8', 'P7', 'P1', 'P8', 'Po4', 'Po8', 'O1', 'Oz']",0.7531859070464768
S001,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.7531859070464768
