channel,mean,std
C4,0.9002721309661865,0.0003225991809406449
Po3,0.9002211332321167,0.0005711077049422917
Cp2,0.9002043962478637,0.0006937995829516328
Cpz,0.9001921534538269,0.000469024988954688
Cp4,0.9001405358314514,0.00041013990805381726
Cp3,0.900139856338501,0.0005799628454936302
Fp1,0.9001375317573548,0.0004779056026622908
C2,0.9001374959945678,0.0001776165179360694
Fc1,0.900134551525116,0.0004401259729372829
Po8,0.9001306891441345,0.00010001520859506589
Fc3,0.9001188635826111,0.0003732365079625085
P3,0.9001120328903198,0.0004922505207314028
Po4,0.900098729133606,0.0002563341923258644
Fpz,0.9000887393951416,0.0003387447525241833
O1,0.9000838279724122,0.0003670628571355768
Af3,0.9000567197799683,0.00041441497206615754
C3,0.900050675868988,0.0007403710612548859
P7,0.9000418901443481,0.00032592704718814667
P4,0.9000325798988342,0.00047085816687944743
P5,0.9000192523002625,0.00028682726040360604
Fz,0.9000102758407593,0.00030605900755936233
Cp1,0.9000034809112549,0.0002633594196289508
Cz,0.9000030755996704,0.00046776632303241375
Cp6,0.9000010132789612,0.0003522234890389543
Fc5,0.8999974131584167,0.0006195625766988139
Fc2,0.8999917387962342,0.0003769762574897486
P2,0.8999903321266174,0.0004940903406407635
F1,0.8999836325645447,0.00025824936708690514
C1,0.8999770998954773,0.0006754720417426407
P1,0.8999759435653687,0.0004024356742112213
Cp5,0.8999708771705628,0.0003307604527781224
Af7,0.8999674439430236,0.0005211173730985186
C5,0.899963665008545,0.0006200445452818719
Fp2,0.8999620795249939,0.00037915212249692954
F3,0.8999523520469666,0.00019555069475270026
Iz,0.8999521732330322,0.00017061951638913775
Po7,0.8999108076095581,0.0003899863242826401
F8,0.8999027609825134,0.0004939726691792955
P6,0.8998984575271607,0.0002509034898289818
Pz,0.8998905777931213,0.00026269311326081483
Fcz,0.8998834729194641,0.00037852242938495305
P8,0.8998823523521423,0.0004720229701003216
F2,0.8998778939247132,0.00031835863110021975
Oz,0.8998777031898498,0.0002127644030273542
F7,0.8998774886131287,0.00047642080562733825
Poz,0.8998690962791442,0.00037599412707536265
Afz,0.8998563885688782,0.0003890375484953289
F5,0.8998461484909057,0.0002600646566401032
F4,0.8998450994491577,0.0004700153234532351
Af4,0.8998378992080689,0.00044160585021577276
F6,0.89981107711792,0.0004600115389458212
Tp7,0.8998082876205444,0.0004646423875230631
Ft7,0.8998048782348633,0.00044879546237870367
Fc4,0.8997970938682556,0.0006305731499332286
Af8,0.8997716307640076,0.0005499253864822294
C6,0.8997681975364685,0.0005835509722453492
O2,0.8997648239135743,0.0003834392218080898
T7,0.8997380137443542,0.0004624119237321416
T8,0.8996749520301819,0.0006361203418750504
Tp8,0.8996603488922119,0.0006162866036886984
T10,0.8996430516242981,0.0005240772047970662
Ft8,0.899636197090149,0.0006622881337681086
Fc6,0.8996183753013611,0.00026684591203621254
T9,0.8996085882186889,0.0003536574144456239
