subject,method,k,num_selected,selected_channels,accuracy_full
S001,ES,10,18,"['Fc4', 'C1', 'C2', 'Cp4', 'Fp1', 'Fpz', 'Afz', 'Af8', 'F3', 'F1', 'Ft8', 'T7', 'T10', 'Tp7', 'P7', 'P1', 'O1', 'O2']",0.8009370314842579
S001,ES,15,24,"['Fc4', 'Fc6', 'C1', 'C2', 'Cp5', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Afz', 'Af8', 'F3', 'F1', 'Fz', 'F6', 'Ft8', 'T7', 'T10', 'Tp7', 'P7', 'P1', 'Po3', 'O1', 'O2']",0.8009370314842579
S001,ES,20,30,"['Fc5', 'Fc3', 'Fc4', 'Fc6', 'C1', 'C2', 'Cp5', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af3', 'Afz', 'Af8', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft8', 'T7', 'T10', 'Tp7', 'P7', 'P1', 'Po3', 'O1', 'O2']",0.8009370314842579
S001,ES,25,36,"['Fc5', 'Fc3', 'Fcz', 'Fc4', 'Fc6', 'C1', 'C2', 'C4', 'Cp5', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af3', 'Afz', 'Af8', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft8', 'T7', 'T8', 'T10', 'Tp7', 'P7', 'P1', 'P8', 'Po3', 'O1', 'Oz', 'O2']",0.8009370314842579
S001,ES,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.8009370314842579
S001,AS,10,10,"['Fc4', 'C1', 'C2', 'C6', 'Af3', 'T10', 'P1', 'Po7', 'Po3', 'O1']",0.8009370314842579
S001,AS,15,15,"['Fc4', 'C1', 'C2', 'C6', 'Cp1', 'Af3', 'Afz', 'Af8', 'F6', 'T10', 'P1', 'P2', 'Po7', 'Po3', 'O1']",0.8009370314842579
S001,AS,20,20,"['Fc4', 'C1', 'C2', 'C6', 'Cp1', 'Af3', 'Afz', 'Af8', 'F3', 'F6', 'T10', 'P1', 'Pz', 'P2', 'Po7', 'Po3', 'Poz', 'Po8', 'O1', 'O2']",0.8009370314842579
S001,AS,25,25,"['Fc4', 'C1', 'C2', 'C6', 'Cp1', 'Af3', 'Afz', 'Af8', 'F5', 'F3', 'F1', 'F6', 'Ft7', 'Ft8', 'T10', 'Tp8', 'P1', 'Pz', 'P2', 'Po7', 'Po3', 'Poz', 'Po8', 'O1', 'O2']",0.8009370314842579
S001,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.8009370314842579
S002,ES,10,20,"['Fc3', 'Fcz', 'Fc6', 'C3', 'Cz', 'C4', 'Cp3', 'Cp4', 'Cp6', 'Af4', 'Ft7', 'Ft8', 'T8', 'T9', 'Tp7', 'P7', 'P1', 'P8', 'Po8', 'Iz']",0.7705772113943028
S002,ES,15,28,"['Fc3', 'Fcz', 'Fc6', 'C3', 'Cz', 'C2', 'C4', 'Cp3', 'Cp4', 'Cp6', 'Fpz', 'Afz', 'Af4', 'F5', 'Ft7', 'Ft8', 'T8', 'T9', 'Tp7', 'P7', 'P5', 'P1', 'P2', 'P8', 'Poz', 'Po8', 'Oz', 'Iz']",0.7705772113943028
S002,ES,20,32,"['Fc5', 'Fc3', 'Fcz', 'Fc6', 'C3', 'C1', 'Cz', 'C2', 'C4', 'Cp3', 'Cpz', 'Cp4', 'Cp6', 'Fpz', 'Afz', 'Af4', 'F5', 'Ft7', 'Ft8', 'T8', 'T9', 'Tp7', 'P7', 'P5', 'P1', 'P2', 'P6', 'P8', 'Poz', 'Po8', 'Oz', 'Iz']",0.7705772113943028
S002,ES,25,36,"['Fc5', 'Fc3', 'Fcz', 'Fc6', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp3', 'Cpz', 'Cp4', 'Cp6', 'Fpz', 'Afz', 'Af4', 'F5', 'F3', 'F2', 'F6', 'Ft7', 'Ft8', 'T8', 'T9', 'Tp7', 'P7', 'P5', 'P1', 'P2', 'P6', 'P8', 'Poz', 'Po8', 'Oz', 'Iz']",0.7705772113943028
S002,ES,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.7705772113943028
S002,AS,10,10,"['Fc3', 'Fcz', 'Cz', 'C6', 'Cp2', 'F2', 'P2', 'P6', 'P8', 'O1']",0.7705772113943028
S002,AS,15,15,"['Fc3', 'Fcz', 'Cz', 'C6', 'Cp2', 'Cp4', 'Fp2', 'Af4', 'F2', 'Ft7', 'T9', 'P2', 'P6', 'P8', 'O1']",0.7705772113943028
S002,AS,20,20,"['Fc3', 'Fcz', 'Cz', 'C6', 'Cp2', 'Cp4', 'Fp2', 'Af3', 'Af4', 'F2', 'F6', 'Ft7', 'T9', 'Tp8', 'P7', 'P2', 'P6', 'P8', 'O1', 'Oz']",0.7705772113943028
S002,AS,25,25,"['Fc3', 'Fcz', 'Cz', 'C6', 'Cp2', 'Cp4', 'Fp2', 'Af3', 'Afz', 'Af4', 'F7', 'F2', 'F6', 'Ft7', 'T8', 'T9', 'Tp8', 'P7', 'P2', 'P6', 'P8', 'Po8', 'O1', 'Oz', 'Iz']",0.7705772113943028
