channel,mean,std
Cp3,0.9003597676753998,0.0005335321252829785
P3,0.9002848148345948,0.000337589669696323
Af3,0.9002174973487854,0.0004438757369058684
C4,0.9002139747142792,0.0004801970497958959
Cp2,0.9002112746238708,0.0003704637413702757
C2,0.9001863420009613,0.0004744002172469257
Af7,0.9001806914806366,0.0004955884020824271
Po3,0.9001676201820373,0.0005287145461941184
Fpz,0.9001629471778869,0.0003775150570367597
Cp4,0.9001548528671265,0.00045525669072101616
Fp2,0.9001478374004364,0.000451294770353503
F3,0.9001389086246491,0.000466478010966255
Fp1,0.9001326024532318,0.00036783824071961096
C3,0.9001318156719208,0.0005748258437408937
F5,0.9001309216022492,0.0005788221989208761
Af4,0.9001214742660523,0.000471810515472659
P2,0.9001000583171844,0.0004076759939872869
C1,0.9000943541526795,0.0004560539365885906
Po7,0.9000748455524444,0.0004488195902934027
Cp1,0.9000742435455322,0.00032513018438327034
P1,0.9000719249248504,0.00046067955663339256
Pz,0.9000666439533234,0.0003091095846840422
Cpz,0.9000331223011017,0.0005052038476804444
Cz,0.9000302493572235,0.0006581832153744749
Cp5,0.9000290155410766,0.0005188356641251801
Af8,0.9000178396701812,0.0006083013618963293
F7,0.9000088274478912,0.0005315306344835035
Afz,0.8999954521656036,0.0004621136149966371
F1,0.8999938130378723,0.0003782403151550447
Po4,0.8999905824661255,0.00039404440894207093
Fc1,0.8999813318252563,0.00045628200933672407
P7,0.8999674677848816,0.0005890659158185196
O1,0.8999410390853881,0.00048591179194188816
F8,0.8999084591865539,0.0004905184659007902
Poz,0.8999044477939606,0.0003954598926085887
F4,0.8998907625675201,0.0005434020432945608
Fz,0.8998888850212097,0.0005059921944882743
Fc3,0.8998872220516205,0.00037519673857143475
P5,0.8998848795890808,0.0005434344049493472
F2,0.8998844742774963,0.0005027255453488745
P4,0.899869692325592,0.0003989637231230589
Po8,0.8998616218566895,0.0004429785750499688
Fc2,0.8998582899570465,0.0005687785090830619
Fc4,0.8998451352119445,0.0005829049554239669
Ft7,0.8998441457748413,0.0005718361008296412
Fcz,0.8998377621173859,0.0005768363555526066
P8,0.8998340964317322,0.0005895901292062452
Oz,0.8998250067234039,0.00047790686196728927
O2,0.8998171031475067,0.00040429204198111205
Fc6,0.8997727453708648,0.0006207280802105057
P6,0.8997687876224518,0.0005778822686936569
F6,0.8997662186622619,0.000617589900622274
Cp6,0.899751341342926,0.0003804312296233409
Tp7,0.8997309267520904,0.0004214202012082135
C6,0.8997309148311615,0.0003695493802477004
C5,0.8997278392314911,0.0004536596280816748
Fc5,0.899696409702301,0.0004928658319590604
Iz,0.8996783852577209,0.00043089679503170795
T8,0.8996340215206147,0.00046774728608920405
Tp8,0.8995955586433411,0.00048037529629108065
T7,0.8995726764202118,0.0004851253837317466
Ft8,0.8995629668235778,0.0005973002993159441
T10,0.8995033442974091,0.0005542922926064995
T9,0.8994843065738678,0.0003839558100707793
